Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,200951.0,214084.0,228736.0,229177.0,241201.0,246687.0,257758.0,268428.0,285531.0,323517.0,398133.0,475197.0,528929.0,592371.0,485024.0,424840.0,474899.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,9835.0,10370.0,11300.0,11274.0,11306.0,12234.0,12552.0,12946.0,13742.0,15590.0,18404.0,21968.0,23721.0,26692.0,25928.0,21001.0,23747.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,3306.0,3287.0,3525.0,3601.0,3362.0,3982.0,4144.0,4287.0,4534.0,5028.0,5694.0,6286.0,6782.0,7469.0,6583.0,5543.0,6442.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,652.0,751.0,829.0,779.0,818.0,818.0,850.0,887.0,984.0,1149.0,1328.0,1569.0,1779.0,2023.0,2163.0,1757.0,1882.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,803.0,889.0,974.0,947.0,989.0,1090.0,1129.0,1185.0,1170.0,1297.0,1551.0,1825.0,1867.0,2229.0,2165.0,1823.0,2060.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,292.0,378.0,415.0,429.0,376.0,400.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,251.0,316.0,357.0,328.0,362.0,398.0,383.0,392.0,406.0,463.0,563.0,655.0,651.0,753.0,787.0,534.0,590.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,410.0,469.0,495.0,514.0,523.0,530.0,503.0,471.0,430.0,472.0,566.0,631.0,762.0,850.0,881.0,688.0,780.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,541.0,599.0,675.0,662.0,713.0,718.0,722.0,735.0,763.0,883.0,1012.0,1291.0,1374.0,1643.0,1621.0,1230.0,1356.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,253.0,265.0,299.0,327.0,329.0,342.0,340.0,340.0,359.0,399.0,484.0,584.0,639.0,700.0,713.0,579.0,665.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,140.0,143.0,147.0,161.0,186.0,154.0,160.0,158.0,215.0,279.0,417.0,571.0,641.0,709.0,708.0,525.0,682.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,266.0,318.0,337.0,323.0,352.0,352.0,365.0,409.0,523.0,668.0,818.0,1002.0,1030.0,1088.0,965.0,796.0,936.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,287.0,286.0,299.0,300.0,0.0,0.0,0.0,0.0,247.0,450.0,549.0,706.0,745.0,802.0,792.0,651.0,715.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,234.0,239.0,231.0,226.0,219.0,236.0,233.0,238.0,253.0,293.0,332.0,440.0,435.0,505.0,570.0,342.0,389.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,881.0,934.0,1067.0,964.0,913.0,1016.0,1164.0,1243.0,1351.0,1505.0,1860.0,2257.0,2347.0,2652.0,2606.0,2214.0,2379.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,612.0,619.0,657.0,714.0,1051.0,1003.0,938.0,922.0,753.0,740.0,871.0,1083.0,1257.0,1405.0,1349.0,1087.0,1184.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,503.0,509.0,535.0,531.0,571.0,583.0,558.0,549.0,533.0,583.0,691.0,849.0,967.0,1130.0,1171.0,937.0,1053.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,217.0,223.0,278.0,253.0,274.0,278.0,273.0,278.0,322.0,377.0,466.0,568.0,609.0,628.0,613.0,473.0,601.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,479.0,523.0,595.0,644.0,644.0,734.0,790.0,852.0,899.0,1004.0,1164.0,1359.0,1458.0,1691.0,1812.0,1446.0,1633.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,18070.0,20041.0,21815.0,22606.0,23991.0,24835.0,26048.0,26278.0,24644.0,27391.0,30740.0,36726.0,40474.0,44658.0,29717.0,25163.0,27002.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,5993.0,6590.0,7098.0,7337.0,7832.0,8269.0,8779.0,8288.0,8247.0,9214.0,10804.0,12194.0,12317.0,13139.0,7774.0,6658.0,7254.0
