Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,729.0,788.2,817.6,855.2,1162.1,975.1,1008.2,853.5,883.7,952.8,924.4,908.7,873.6,763.2,866.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,29.2,23.5,19.5,25.8,26.7,32.8,30.6,37.7,34.0,37.2,28.9,31.4,21.1,9.8,10.5
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,8.7,13.6,12.2,14.4,6.6,18.5,36.7,15.8,15.9,14.3,11.5,4.9,17.3,10.5,32.6
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,75.5,71.7,61.7,50.7,51.9,55.6,58.5,63.8,74.8,69.1,37.1,44.8,35.6,30.7,35.4
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,23.8,17.3,14.1,17.2,37.2,70.2,63.4,5.2,11.8,4.3,3.4,2.9,27.0,29.5,33.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,141.2,142.5,163.0,167.0,171.8,176.3,167.9,165.7,152.2,140.4,128.1,132.2,115.7,117.7,88.6
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,40.3,45.2,42.4,43.9,42.6,47.0,57.4,44.1,49.9,43.6,48.4,68.6,41.6,35.0,39.2
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,5.4,5.6,7.0,3.7,3.9,7.8,15.8,15.9,15.2,15.8,15.0,24.0,7.4,5.0,4.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,51.5,51.8,52.8,49.1,51.3,54.7,51.6,37.2,52.1,44.2,52.7,39.4,38.7,39.4,47.4
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,3.5,3.3,4.4,3.7,5.8,3.1,3.2,3.2,5.1,6.9,6.5,7.1,7.3,7.4,10.8
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,21.0,58.7,46.9,35.4,69.3,66.1,68.9,59.6,60.5,47.8,71.8,45.7,49.1,3.1,42.5
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,257.6,280.3,290.4,372.3,619.2,370.6,318.7,302.9,336.6,397.9,430.0,425.4,438.0,430.1,465.0
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,43.0,42.8,73.5,40.2,38.4,38.9,103.2,60.1,53.2,49.6,50.5,46.5,49.5,26.4,26.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,4.8,4.9,4.9,6.2,6.3,5.0,5.2,9.2,7.1,7.2,6.8,7.2,4.5,3.4,9.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,23.5,27.0,24.8,25.6,31.1,28.5,27.1,33.1,15.3,74.5,33.7,28.6,20.8,15.2,21.1
