Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,8245.8,9504.8,11753.9,15219.3,20060.4,25423.1,29413.9,34698.0,51129.3,71156.5,88130.3,107492.7,130790.9,222935.8,259654.3
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,237.1,398.6,537.2,720.8,1053.5,1219.3,1171.8,1398.8,2182.7,3315.4,3992.5,4480.6,5272.4,7995.6,8505.9
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,71.5,157.9,248.2,339.7,487.1,509.2,493.9,546.1,897.9,1189.1,1321.6,1248.2,1731.7,1986.6,1730.8
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,15.5,25.0,30.6,49.4,51.1,63.9,71.4,82.4,112.6,116.5,174.1,220.0,267.9,319.5,334.7
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,13.0,19.4,24.1,25.1,41.6,51.5,54.9,73.1,117.8,178.9,212.0,231.6,299.8,411.8,432.4
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,61.8,74.2,62.4,108.4,72.8
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,2.2,3.7,6.0,14.5,21.6,30.9,23.9,21.9,50.4,48.7,72.9,125.0,139.5,227.4,80.6
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,5.6,8.8,13.7,11.9,24.4,17.0,39.2,23.9,38.0,76.9,73.7,84.1,119.1,102.7,118.4
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,50.7,59.5,62.3,97.6,187.7,234.4,153.2,232.6,274.0,326.7,406.2,331.3,379.9,308.9,473.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,2.7,4.7,8.4,9.4,13.9,20.6,14.1,16.4,32.5,71.3,68.8,76.0,116.1,89.7,106.4
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1.4,1.8,1.1,1.4,1.7,6.5,8.8,17.0,19.8,123.7,299.7,314.5,159.7,197.8,314.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,2.0,2.5,1.9,5.2,12.6,17.9,24.5,55.7,94.8,170.9,166.3,234.1,300.4,232.1,280.2
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,21.4,36.7,31.8,0.0,0.0,0.0,21.9,48.4,77.1,164.0,194.9,365.7,287.9,308.7,296.4
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,2.1,3.6,4.9,6.9,8.8,6.0,8.8,16.3,59.3,55.5,87.2,99.6,86.5,67.8,67.3
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,23.1,25.7,31.2,40.6,52.9,75.1,101.7,107.6,151.5,285.0,354.0,477.7,556.9,666.2,656.7
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,11.0,18.8,27.5,68.5,74.5,92.7,55.0,32.3,72.8,218.6,142.3,174.9,176.6,210.6,336.9
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,2.6,5.2,6.3,6.4,12.6,17.8,21.4,35.8,41.0,61.1,95.9,103.4,129.7,166.1,181.9
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,1.1,2.9,2.8,5.9,5.5,7.0,8.9,14.6,33.1,44.0,99.8,46.4,51.5,51.3,89.8
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,11.2,22.4,36.4,38.3,57.5,68.8,70.2,74.7,110.1,142.6,161.3,273.9,406.8,482.9,501.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,345.3,534.4,672.9,862.7,1131.8,1341.9,1578.0,1782.9,2819.5,3539.1,4673.0,5657.8,6864.1,10931.0,12782.8
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,109.6,195.3,185.9,248.6,368.8,418.1,585.4,647.3,1057.1,1189.6,1662.4,1929.8,2391.3,3601.6,4523.2
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,12.0,14.4,15.4,25.8,20.0,16.4,23.2,25.8,87.0,96.2,120.3,134.5,178.7,167.6,168.3
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,14.9,20.9,29.4,44.1,60.9,60.8,144.4,173.3,184.5,246.4,298.6,350.0,421.0,399.1,456.4
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,27.1,50.6,70.4,84.8,69.1,93.3,97.5,144.7,270.8,427.6,504.4,504.2,861.1,548.8,553.7
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,24.3,27.0,24.4,42.1,58.1,100.9,52.3,45.8,65.2,127.4,125.0,161.7,211.2,297.3,319.4
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,11.6,15.6,27.5,26.5,42.5,74.0,69.3,65.8,121.8,117.8,173.4,184.6,244.7,367.8,379.8
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,10.9,12.6,19.5,22.1,36.5,32.4,16.5,18.3,43.8,69.8,86.8,123.8,149.7,224.2,259.1
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,12.4,18.6,22.2,38.6,46.6,58.9,65.1,70.5,120.7,150.9,215.9,237.8,211.7,215.8,267.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,13.2,21.9,59.1,55.6,74.2,70.4,88.4,84.9,113.8,118.6,166.4,192.7,172.0,369.3,389.6
