Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,13683.8,18336.4,21527.8,28614.1,33868.5,42085.5,48253.8,59690.4,83512.6,110321.0,129348.6,155159.1,145011.7
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,250.7,334.4,391.4,579.0,699.2,1051.1,1088.8,1209.2,1815.0,2377.6,2804.2,2945.6,2393.3
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,92.1,135.4,142.1,177.1,201.7,233.5,255.6,299.6,595.4,665.2,562.6,621.8,529.1
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,17.8,19.2,18.0,28.7,45.5,81.9,85.1,96.1,127.5,146.1,166.6,182.0,198.5
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,22.8,29.6,35.8,46.7,54.8,90.2,95.1,107.1,118.5,213.4,285.2,208.2,178.3
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,12.9,15.5,16.4
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,2.0,2.5,3.1,9.7,14.3,28.8,23.9,31.0,43.0,53.7,62.6,60.6,37.8
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,4.6,6.6,8.5,16.0,19.4,35.1,35.5,35.7,50.4,49.1,46.1,177.6,57.9
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,16.8,23.8,35.0,47.1,64.4,85.2,89.2,112.1,117.1,167.4,184.8,173.0,122.5
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,2.7,3.5,4.8,9.6,13.0,17.3,17.4,18.4,31.2,136.6,155.8,38.6,33.4
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1.3,1.8,3.6,4.0,5.4,12.7,12.7,13.0,17.1,28.5,40.9,38.9,48.8
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,3.1,3.9,5.3,8.3,11.4,20.1,21.3,23.8,39.2,58.3,54.3,57.9,46.9
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,118.6,125.3,187.0,347.9,330.6
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,2.3,3.0,3.7,7.8,10.3,14.7,14.5,14.4,19.8,84.9,116.5,120.4,93.7
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,14.1,18.8,25.7,37.7,53.9,117.5,110.5,121.7,168.7,172.5,236.6,260.4,222.2
