Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,12286.6,12541.5,12850.1,13163.0,13505.4,13767.7,14022.4,14357.3,14641.7,14876.4,14797.4,14980.7,15038.9,15038.3,15097.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,627.4,631.7,641.5,650.8,656.7,665.4,675.1,688.8,779.5,782.2,790.0,781.5,786.1,791.8,805.8
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,104.6,106.3,108.2,109.8,110.8,113.2,115.5,117.6,140.4,148.5,141.4,145.7,145.9,137.5,138.6
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,64.0,65.3,65.5,66.5,67.2,68.0,69.0,70.3,84.4,81.5,88.3,86.1,78.5,82.9,90.4
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,61.1,61.0,62.5,63.3,63.9,64.7,65.5,66.6,79.6,79.8,78.0,77.5,81.4,80.2,80.4
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,9.2,8.4,8.4,8.8
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,17.3,18.2,18.4,18.7,18.9,19.1,19.2,19.6,18.0,19.4,21.4,20.2,19.9,20.8,20.9
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,30.3,30.8,31.5,31.9,32.2,32.6,33.0,33.8,35.8,35.7,29.4,28.3,29.5,30.2,30.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,44.4,44.0,44.5,45.3,45.6,46.2,46.9,47.9,58.4,55.6,56.5,55.4,55.1,56.3,55.5
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,16.8,17.0,17.3,17.4,17.5,17.7,17.9,18.5,18.0,19.3,20.1,19.0,18.3,18.4,18.9
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,11.3,11.0,11.0,11.4,11.5,11.6,11.7,11.9,11.3,10.3,12.6,13.4,11.4,13.8,14.5
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,17.3,16.8,17.0,17.2,17.4,17.6,17.7,18.3,21.1,20.9,22.6,22.3,22.2,22.6,23.8
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,31.1,33.6,32.8,33.6,34.3,34.4
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,15.5,15.1,14.6,15.1,15.2,15.3,15.5,15.9,18.1,17.4,16.7,15.8,15.6,16.5,16.6
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,66.0,68.7,70.7,71.4,72.1,73.0,74.1,75.8,81.5,77.9,80.6,77.4,81.5,85.9,87.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,71.2,68.1,68.8,69.8,70.4,71.1,72.4,73.4,51.0,46.7,45.6,43.8,43.9,45.4,45.3
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,39.1,39.3,40.0,40.8,41.2,41.8,42.4,43.0,48.3,50.5,47.8,47.4,48.6,46.4,46.2
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,18.4,19.8,20.0,20.6,20.7,20.9,20.9,21.3,23.1,21.6,21.3,21.9,22.1,21.7,24.6
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,50.1,50.3,51.5,51.6,52.1,52.6,53.4,54.9,66.4,66.0,65.8,65.3,70.2,70.5,69.2
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1180.2,1209.3,1242.6,1279.2,1318.7,1347.3,1375.2,1404.1,1401.6,1413.9,1376.5,1403.1,1427.3,1429.7,1415.5
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,207.2,206.7,212.1,219.2,225.9,227.6,232.3,237.1,212.6,210.5,210.7,209.1,207.2,209.5,193.5
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,18.5,18.1,18.8,20.0,20.5,20.8,21.2,21.6,19.0,19.7,19.9,20.3,18.5,18.6,18.4
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,60.5,63.0,64.5,66.4,68.5,70.0,71.4,73.1,78.3,78.5,80.7,79.3,78.6,78.3,81.9
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,88.5,90.8,93.4,96.2,99.0,102.3,104.4,106.5,114.3,116.0,114.3,118.6,115.8,116.5,117.2
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,80.8,83.2,87.6,88.9,91.7,92.4,94.3,96.2,90.3,89.9,85.8,90.1,92.9,90.3,91.4
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,30.1,31.2,32.5,33.1,34.1,34.4,35.1,35.8,32.6,33.1,31.7,31.3,31.6,32.2,32.9
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,48.8,50.1,51.9,53.3,55.0,56.1,57.3,58.6,64.0,65.1,64.4,66.1,67.5,66.5,67.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,69.0,71.2,72.5,74.9,77.2,78.9,80.5,82.2,84.9,85.2,85.6,85.9,88.9,90.9,89.6
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,89.1,91.6,94.1,96.9,99.9,102.2,104.3,106.5,98.3,105.2,101.0,101.8,107.2,106.4,106.5
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,22.4,23.2,23.8,24.2,24.9,25.4,26.0,26.5,26.8,27.0,26.6,27.5,27.0,28.1,27.9
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,77.9,82.9,84.2,86.6,89.3,91.2,93.1,95.2,93.7,97.9,94.9,98.6,100.0,100.0,97.5
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,116.3,117.9,121.2,125.0,128.8,131.6,134.3,137.0,143.1,144.2,137.0,140.5,150.1,151.3,151.4
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,59.7,60.7,63.1,65.2,67.3,68.9,70.3,72.0,77.8,76.6,76.3,78.7,78.7,80.1,79.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,97.9,101.9,103.4,106.3,109.7,115.5,117.9,120.0,132.5,131.3,125.8,126.2,133.7,136.1,134.4
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,74.8,78.1,79.3,81.3,83.9,85.7,87.6,89.5,83.9,84.1,73.9,79.1,81.2,75.6,75.5
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,38.7,38.7,40.2,41.7,43.0,44.3,45.2,46.3,49.5,49.6,47.9,50.0,48.4,49.3,51.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,810.0,825.0,844.5,859.3,868.5,872.4,872.4,874.6,887.7,875.4,881.9,862.2,856.4,858.8,841.8
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,173.6,127.7,130.8,131.3,132.7,133.4,133.4,133.7,134.2,132.4,140.0,129.4,128.7,130.0,118.4
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,30.9,32.6,33.4,34.3,34.7,34.8,34.8,34.8,28.6,27.5,28.4,28.4,29.0,28.0,28.9
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,38.5,39.3,40.2,41.5,41.9,42.0,42.1,42.1,44.7,43.9,43.5,44.5,42.9,43.3,43.9
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,52.0,66.1,67.8,69.9,70.7,71.1,71.0,71.3,74.4,76.2,76.3,72.4,74.5,74.8,75.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,55.0,58.0,59.0,60.2,60.8,61.1,61.0,61.3,62.5,62.3,67.3,66.7,66.3,66.0,64.9
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,103.7,122.8,126.0,129.4,130.8,131.5,131.7,131.8,136.5,138.6,134.8,134.2,130.3,131.8,130.3
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,33.8,34.3,35.3,36.0,36.4,36.6,36.0,36.1,34.0,33.4,36.7,36.4,36.8,37.1,35.9
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,73.0,74.2,76.1,77.4,78.3,78.5,78.5,78.6,73.9,72.8,68.8,69.9,71.7,72.1,70.1
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,13.2,14.2,14.6,14.6,14.7,14.8,14.8,15.1,22.2,17.9,18.5,18.3,17.5,17.5,18.1
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,49.2,51.2,51.4,52.3,52.9,53.1,53.2,53.2,54.4,54.2,54.6,53.3,52.1,51.3,49.6
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,61.3,63.3,65.4,65.7,66.2,66.5,66.9,67.2,62.4,64.0,62.8,62.8,64.5,63.3,62.8
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,56.0,71.1,72.9,73.8,74.6,74.9,74.9,75.2,79.0,73.3,70.9,69.0,65.9,66.6,68.8
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,69.8,70.2,71.6,72.9,73.8,74.1,74.1,74.2,80.9,78.9,79.3,76.9,76.2,77.0,75.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,404.6,413.9,424.1,437.3,453.0,465.4,480.8,492.6,539.4,590.3,600.1,612.6,602.7,597.4,593.8
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,69.1,70.9,74.5,76.8,79.6,81.8,84.3,86.7,80.1,84.3,85.1,86.8,85.4,83.0,81.8
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,14.5,14.9,15.3,15.7,16.3,16.8,17.2,17.7,20.1,20.2,22.6,22.6,19.5,21.0,22.2
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,40.0,40.6,42.0,43.6,45.0,46.4,47.8,49.2,58.8,65.1,64.1,63.1,63.2,61.5,63.1
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,46.0,47.0,49.0,50.6,52.5,53.8,55.5,57.3,64.0,70.0,73.9,75.9,72.1,71.0,70.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,53.4,54.2,55.5,57.3,59.6,61.1,63.1,64.2,82.0,90.5,90.0,89.4,92.7,91.2,94.3
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,21.0,21.5,20.9,21.4,22.1,22.7,23.4,23.9,28.2,29.3,27.5,31.8,29.7,29.1,29.2
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,46.1,47.2,48.9,50.4,52.3,53.5,55.5,56.9,60.3,67.2,70.1,71.8,69.3,69.6,71.7
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,19.1,19.7,19.1,19.7,20.5,20.9,21.6,22.1,31.3,35.4,35.2,37.6,35.8,35.8,35.9
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,19.1,19.6,19.6,20.1,20.8,21.3,22.2,22.7,21.0,22.7,24.5,24.6,23.7,24.1,25.9
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,16.2,16.6,17.0,17.5,18.0,19.0,19.6,20.0,20.1,21.8,21.6,21.9,23.1,23.1,23.1
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,22.5,23.1,23.4,24.1,25.0,25.6,26.6,26.8,30.3,33.1,31.7,33.4,35.0,35.2,23.2
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,28.8,29.5,29.9,30.9,31.7,32.8,33.7,34.6,32.7,38.5,41.3,41.1,40.6,39.8,39.3
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,8.8,9.1,9.0,9.2,9.6,9.7,10.3,10.5,10.5,12.2,12.5,12.6,12.6,13.0,14.1
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1030.9,1059.9,1094.9,1130.6,1172.5,1210.0,1247.0,1296.6,1353.3,1345.3,1317.9,1339.5,1331.5,1316.6,1377.2
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,132.5,135.2,140.5,142.4,147.4,148.2,150.0,151.4,130.3,124.4,129.7,130.4,121.5,122.2,124.9
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,60.2,61.8,63.1,61.6,57.6,58.7
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3,73.2
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,60.9,62.5,64.9,67.6,70.1,70.9,72.1,73.8,85.3,83.7,82.9,83.7,81.4,81.5,89.5
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,40.0,41.8,43.7,45.2,47.0,49.2,51.4,54.5,61.3,62.3,63.2,61.0,61.5,60.1,62.7
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,76.9,77.5,80.0,83.2,86.8,89.3,92.8,97.6,111.2,110.4,102.1,105.3,105.4,104.1,107.7
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,84.2,86.1,88.7,90.5,94.1,95.4,98.2,101.0,107.9,104.6,100.5,98.4,99.6,100.6,106.1
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,80.1,81.1,84.1,87.2,90.9,94.1,98.1,102.4,115.4,113.4,107.6,108.3,110.2,110.3,116.2
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,77.2,79.4,82.3,85.4,89.1,92.3,96.2,100.3,105.2,107.4,108.0,109.1,114.5,108.6,112.7
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,48.0,48.3,50.4,52.4,54.1,54.2,55.1,55.9,54.5,54.2,51.8,56.5,52.2,51.6,54.3
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,48.0,49.0,49.5,50.0,50.4,50.5,51.0,51.4,46.2,51.0,32.1,33.4,30.4,30.0,31.5
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,60.6,61.0,62.9,64.3,65.5,65.8,66.5,67.1,60.0,61.4,59.7,62.3,66.5,67.8,64.7
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,56.3,57.8,60.8,61.9,64.2,68.0,70.3,73.1,87.5,78.7,84.2,82.6,80.4,78.8,87.2
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,96.5,102.5,104.3,112.3,117.0,125.7,130.8,138.7,145.7,140.9,139.6,146.6,147.7,81.9,84.6
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,104.4,107.3,110.1,111.8,115.9,121.6,125.8,134.9,83.6,83.4,88.5,91.9,91.7,90.6,93.2
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,65.3,70.4,72.7,76.4,80.0,84.8,88.7,94.5,105.7,109.3,106.2,106.9,106.9,106.6,110.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,429.0,433.9,440.0,442.4,443.7,443.6,444.2,445.7,446.3,450.9,440.9,450.2,445.8,455.0,457.7
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,86.3,87.8,89.0,89.4,89.6,89.9,90.1,90.3,91.7,96.2,98.7,102.3,96.2,102.0,105.4
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,53.1,52.8,53.4,53.6,53.7,54.0,54.2,54.4,47.2,50.3,48.3,49.5,46.4,46.1,46.7
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.5,4.0,3.9,3.6
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,15.5,15.6,15.8,15.9,15.7,15.7,15.7,15.8,13.8,13.2,14.7,18.1,19.7,20.8,22.1
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,49.7,50.6,51.5,51.8,52.3,52.3,52.4,52.6,68.2,65.3,59.4,57.7,59.2,57.6,60.1
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,39.5,39.9,39.9,40.1,40.3,40.2,40.0,40.1,36.8,37.4,35.9,37.7,38.1,39.0,36.5
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,48.8,49.2,49.9,50.2,50.1,50.1,50.1,50.3,46.9,46.7,48.4,49.2,48.3,47.3,47.0
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,39.7,39.5,40.7,40.9,41.0,40.6,40.6,40.7,39.4,38.3,36.3,35.4,37.3,36.9,37.2
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,9.7,9.7,9.2,9.3,9.3,9.2,9.2,9.3,9.7,6.2,6.9,7.0,7.4,7.7,6.6
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,26.2,27.0,27.3,27.5,27.6,27.6,27.6,27.6,21.2,21.6,23.0,22.8,21.9,22.0,21.6
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,60.5,61.8,63.3,63.7,64.1,64.0,64.3,64.6,71.4,75.7,67.4,67.0,67.3,71.7,70.9
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,866.0,890.2,921.1,953.1,989.5,1022.1,1057.9,1099.0,1162.6,1214.7,1217.2,1224.1,1208.5,1214.0,1228.2
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,192.7,196.8,204.0,210.4,218.8,227.6,256.5,267.0,245.2,253.9,255.5,263.3,254.7,248.8,237.3
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,50.1,51.9,52.8,54.7,55.7,57.9,52.7,54.6,57.1,58.7,59.4,59.1,57.3,60.9,62.6
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,60.7,61.1,62.2,64.6,68.3,69.7,75.8,78.3,88.2,93.4,90.9,87.9,86.6,87.3,90.9
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,63.7,64.9,68.1,70.0,72.5,75.1,59.1,61.5,76.3,80.3,81.7,81.2,79.9,79.2,83.8
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,47.3,49.3,51.4,53.5,55.7,57.5,60.5,62.4,64.0,69.7,73.1,73.3,71.3,73.1,72.7
1714219,Pop tumani,Папский район,Pop district,Поп тумани,76.3,78.9,81.0,83.9,87.3,89.9,76.7,80.0,91.1,99.3,93.0,95.7,94.9,97.1,99.8
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,60.6,62.6,64.9,67.0,69.5,71.7,78.5,81.0,86.7,88.2,93.0,92.5,93.3,98.1,99.0
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,67.4,68.6,70.6,72.8,75.5,77.7,74.5,77.7,91.3,95.0,93.3,95.2,94.5,93.8,97.3
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,69.6,71.4,72.5,75.4,78.3,80.7,68.5,71.3,76.5,79.1,79.3,76.7,79.8,78.3,80.3
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,51.8,53.7,56.9,59.3,61.1,63.0,75.0,77.9,73.0,80.6,81.2,82.1,83.1,86.3,87.7
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,74.7,77.3,79.6,82.2,85.0,87.6,103.0,106.7,113.0,119.2,123.1,123.7,119.4,118.2,120.8
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,51.1,53.7,57.1,59.3,61.8,63.7,77.1,80.6,100.2,97.3,93.7,93.4,93.7,92.9,96.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1308.3,1344.0,1389.0,1433.5,1485.1,1530.6,1575.7,1629.8,1620.6,1604.2,1592.9,1599.7,1632.3,1611.0,1607.5
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,225.8,270.1,279.4,288.4,298.7,307.7,314.9,325.4,257.9,259.2,249.0,270.8,258.8,248.7,247.7
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,42.0,41.4,42.8,44.1,45.8,47.3,48.6,50.2,36.9,36.1,35.3,37.3,38.7,37.6,39.4
