Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,22199.2,26365.9,26416.1,28269.6,27530.1,24924.3,24232.2,26566.1,33430.0,41751.0,36256.1,42170.5,50500.3,63528.6,67238.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,126.3,158.3,240.3,233.8,316.9,286.1,628.5,641.1,742.0,700.0,539.0,649.2,599.3,535.2,653.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,26.8,31.4,43.0,38.7,110.0,136.5,438.3,511.4,530.9,467.1,348.0,417.5,366.4,304.6,352.7
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,15.2,17.8,49.2,31.0,15.2,9.8,9.1,5.8,17.7,10.2,11.9,10.6,9.3,18.6,17.2
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,14.8,14.1,23.6,20.3,12.4,12.3,7.3,10.1,6.9,13.4,13.1,25.2,17.4,11.8,17.6
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.0,1.3,1.9,2.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,0.5,0.3,0.7,1.4,1.3,15.5,6.3,1.4,10.5,12.0,6.6,16.5,42.4,7.6,2.8
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,10.9,18.9,20.3,18.5,17.2,11.3,11.7,7.0,6.9,7.6,8.9,7.6,8.4,9.3,14.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,4.8,0.5,0.4,13.0,69.7,42.9,10.6,8.9,28.4,32.1,12.6,8.0,12.7,15.8,40.6
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,0.0,0.0,0.5,0.7,0.8,0.2,0.2,1.4,25.8,14.6,13.3,17.7,14.7,16.0,17.1
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,0.0,0.0,0.1,0.7,9.5,0.4,81.3,3.3,3.5,8.9,28.9,37.4,37.4,37.1,20.7
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,0.1,2.0,1.3,0.8,0.7,3.4,6.6,7.9,5.0,9.5,5.1,6.4,4.8,7.9,42.9
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.6,18.2,25.5,20.5,20.0,18.4,15.8
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,0.1,0.0,0.0,0.1,0.3,0.1,1.2,3.1,1.5,1.8,1.8,2.2,1.8,1.0,3.5
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,11.9,12.0,14.5,10.5,10.9,13.7,9.4,5.7,36.3,26.5,23.1,24.6,33.4,38.2,36.9
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,14.1,20.6,25.9,24.3,21.2,11.1,7.4,8.1,8.7,10.5,6.4,10.4,6.7,13.2,11.5
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,4.5,8.4,7.0,0.8,1.7,8.2,11.5,11.4,12.8,14.9,8.7,12.0,10.4,14.3,11.8
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,0.0,0.0,0.3,0.2,0.4,0.0,0.1,1.7,14.3,7.3,7.1,7.3,1.9,6.1,8.7
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,12.2,14.0,12.7,11.5,10.3,8.3,6.1,6.5,12.4,23.6,13.2,19.2,10.5,13.3,15.8
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,2097.6,2387.8,2899.7,2912.0,2453.4,1564.6,1102.7,1596.9,2176.4,2532.8,2795.4,3165.4,4282.5,5047.9,4201.4
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,220.7,253.7,342.3,332.3,286.0,217.1,144.4,221.2,337.4,385.6,384.0,364.5,612.9,736.9,599.9
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,77.6,94.9,91.8,108.6,77.7,53.0,36.5,46.5,61.5,78.1,71.0,101.6,91.2,110.6,71.1
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,1.5,1.8,5.8,4.7,8.3,8.3,30.3,32.1,34.4,40.7,42.0,39.8,24.0,80.1,91.0
