Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,16463.7,19500.0,24455.3,30490.1,37646.2,44810.4,51232.0,72155.2,124231.3,195927.3,210195.1,239552.6,266240.0,356071.4,507490.2
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,496.4,950.3,1242.1,2415.0,3990.6,6021.2,3778.3,2822.0,6757.8,8750.6,7089.8,8110.7,10254.0,12959.2,20567.7
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,100.0,182.4,468.2,1576.8,733.9,797.7,591.4,1087.7,1401.7,1620.7,1248.5,1681.8,2414.8,3028.1,3381.1
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,25.0,37.3,110.0,103.1,55.1,72.7,86.9,90.3,134.5,210.8,317.1,449.2,540.6,382.9,597.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,19.8,34.1,56.8,44.1,46.8,77.8,109.5,93.0,281.2,249.2,383.6,425.4,449.9,350.0,567.4
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,103.6,99.5,118.6,104.1,63.9
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,7.3,11.1,9.8,12.5,33.4,82.7,70.6,55.9,278.0,208.0,198.4,308.8,1881.2,2818.8,6528.9
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,9.0,12.4,17.3,15.7,19.6,14.5,16.3,48.9,100.5,111.4,82.4,139.4,156.7,126.7,118.6
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,77.9,98.8,159.1,219.9,2720.4,4558.6,1926.9,530.6,812.7,839.2,948.6,1071.1,1199.3,2225.2,4856.2
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,4.0,6.1,9.8,14.5,15.2,11.3,22.0,46.9,73.8,358.4,68.4,158.5,168.0,167.9,245.1
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,28.6,23.3,21.2,50.4,105.7,127.0,555.6,382.4,703.8,1567.2,1329.3,1449.5,998.7,1211.7,1754.8
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,7.1,12.0,17.9,27.3,42.3,45.7,67.6,56.3,117.5,193.9,130.7,182.0,222.5,338.4,265.1
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,12.4,15.0,14.5,0.0,0.0,0.0,0.0,30.8,2144.6,1517.1,565.4,312.7,352.2,106.8,175.9
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,2.9,4.5,5.9,5.3,8.5,8.2,7.7,19.9,86.4,44.2,108.1,87.9,77.9,108.1,128.1
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,22.6,29.1,28.6,39.4,50.1,61.5,65.0,66.9,153.4,701.9,771.9,774.1,549.0,727.1,575.5
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,18.3,38.9,48.9,65.3,67.3,67.7,116.4,75.5,124.1,278.0,125.7,238.2,310.0,319.6,296.9
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,12.9,14.4,18.2,23.4,23.7,24.6,24.1,33.3,108.0,167.3,167.0,207.4,255.7,294.2,432.3
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,3.9,9.6,9.2,7.5,15.0,12.0,13.2,48.9,64.6,229.3,131.4,90.8,125.0,122.6,138.8
