Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,583.2,664.6,821.4,1008.2,1224.0,1431.7,1608.6,2227.8,3769.6,5834.6,6140.3,6861.0,7468.6,9778.8,0.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,302.6,563.3,729.7,1400.7,2280.6,3388.2,2094.1,1528.8,3641.1,4644.4,3710.0,4189.2,5225.5,6514.1,10201.215405217736
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,359.6,639.0,1627.1,5398.3,2463.7,2639.6,1935.5,3438.7,4478.2,5107.8,3880.9,5152.6,7277.8,8988.2,9889.155016086575
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,149.1,215.2,626.7,579.5,305.4,395.2,464.2,475.0,695.4,1068.7,1583.1,2211.6,2615.5,1820.8,2791.051425899953
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,123.4,208.8,342.1,261.3,272.0,443.1,612.1,510.2,1513.6,1314.4,1988.8,2170.2,2257.2,1723.5,2739.7860936745533
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.1,4797.8,4584.6,5441.2,4752.1,2916.082191780822
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,157.0,229.9,200.3,253.8,667.6,1634.0,1378.9,1081.9,5325.1,3954.7,3742.6,5783.1,34901.1,51911.1,119576.02380952382
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,111.1,149.3,207.8,186.8,229.6,167.5,186.3,552.7,1128.4,1543.5,1132.5,1898.4,2119.9,1699.9,1579.809587217044
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,668.3,841.2,1348.0,1843.1,22501.5,37152.7,15489.5,4210.8,6369.1,6500.2,7252.4,8102.0,8976.6,16446.6,35550.20131771596
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,89.6,132.8,213.7,310.2,321.1,236.9,451.7,949.7,1475.9,7082.9,1332.1,3043.1,3188.3,3143.5,4530.042513863216
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,999.9,804.0,728.9,1720.5,3572.6,4233.1,18276.3,12455.8,22631.6,49752.8,41410.8,44326.4,30080.6,36170.7,52070.7002967359
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,156.0,272.7,405.6,615.8,946.5,1005.1,1450.6,1180.4,2418.1,3900.6,2578.8,3533.3,4246.1,6337.6,4873.338235294117
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,261.9,318.7,306.7,0.0,0.0,0.0,0.0,431.3,29621.2,20696.7,7609.5,4164.4,4640.9,1395.5,2281.587548638133
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,73.7,114.1,151.4,136.3,218.0,209.9,195.9,503.4,2172.1,1105.4,2682.9,2171.2,1956.4,2778.4,3293.4704370179948
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,125.9,157.5,152.3,206.7,257.5,310.9,322.7,326.8,736.5,3306.4,3573.7,3530.0,2463.2,3205.8,2495.4518647007803
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,131.0,288.7,363.9,357.1,364.7,363.5,617.5,634.4,1030.6,2280.5,1017.6,1906.9,2452.6,2496.9,2294.725656877898
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,124.4,136.3,170.8,217.3,218.1,222.8,215.4,293.5,943.1,1496.2,1480.6,1824.1,2232.9,2549.4,3723.8845822566755
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,85.0,185.0,176.3,141.0,280.0,223.2,242.6,891.0,1165.7,4101.6,2329.0,1599.3,2181.7,2121.2,2381.118353344769
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,122.8,194.0,301.7,294.5,326.8,407.0,702.6,938.7,1024.7,2585.7,2552.8,2660.1,2611.5,3111.1,2562.9779710144926
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,282.3,385.1,504.5,525.8,581.0,678.4,745.3,999.6,1550.3,2406.0,3047.2,3470.1,4361.1,5549.8,8363.617994573622
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,776.4,1126.1,1406.7,1395.9,1006.9,1122.9,1408.3,2627.4,3504.4,4530.6,5491.8,5595.8,6512.5,7325.2,7069.421701602958
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,242.0,367.5,652.8,728.9,383.8,437.5,334.2,767.2,1591.3,4361.1,3830.1,4018.7,6985.5,4317.3,16884.194805194806
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,225.4,232.6,251.5,403.7,608.8,648.1,1339.0,1761.6,1610.9,2651.1,7623.9,3309.1,5947.8,3550.5,7364.3033126294
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,139.6,202.7,276.1,385.6,565.1,547.5,499.8,602.9,1154.6,1424.6,1997.1,2440.7,3048.6,3656.4,12982.423435879708
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,95.9,145.0,165.6,277.8,270.4,423.3,590.5,532.3,711.7,1720.9,1040.5,2488.6,2613.2,3311.5,6417.46743119266
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,157.9,250.0,332.8,369.1,433.6,909.1,967.3,828.9,2346.6,1535.7,2378.9,2876.7,3043.6,2526.0,11251.980964467006
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,110.4,175.2,196.0,315.0,708.4,539.5,545.5,388.0,712.6,3329.6,2409.5,2333.8,11351.3,42707.5,31599.540453074434
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,117.9,143.3,194.9,297.9,462.2,481.7,512.0,645.5,992.6,1259.8,2160.8,1697.5,2518.9,3319.2,4465.977045908183
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,276.1,191.8,205.8,306.8,532.1,307.6,368.2,552.2,1350.0,919.6,1156.3,1200.1,1266.1,1374.9,3264.998836307215
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,127.7,180.0,221.2,270.3,428.6,1438.0,572.7,432.1,2494.1,2929.5,2357.2,2387.0,3727.3,4252.5,12124.800312012483
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,115.3,156.8,177.8,270.0,474.8,504.8,711.9,726.5,2272.3,4147.5,2686.4,2662.3,2501.3,3443.5,4354.234939759036
