Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,38119.0,47587.1,57552.5,70634.8,84011.6,97598.2,111869.4,148816.0,235340.7,322535.8,368740.2,456056.1,553265.0,658991.7,880198.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,697.2,897.8,1034.2,1368.8,1717.2,2387.6,4265.7,6773.3,10911.9,12736.1,13981.3,16630.4,17624.7,17791.1,24323.5
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,186.8,263.5,281.3,394.3,483.1,753.2,2449.0,4552.9,7778.7,8178.6,7859.1,9373.3,9455.9,7787.1,7886.9
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,51.6,62.5,72.1,92.0,104.1,150.8,174.5,227.9,315.1,367.5,412.1,511.4,559.8,893.3,2050.1
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,45.3,54.0,72.8,90.8,98.1,137.2,154.1,202.4,233.1,265.2,368.9,487.4,494.0,692.5,989.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,118.0,24.4,29.0,39.9,55.7
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,4.4,5.9,9.2,25.1,33.4,46.4,37.9,73.0,144.6,209.1,223.3,355.1,401.6,654.2,857.4
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,29.2,44.3,49.4,66.3,67.4,86.4,107.4,128.7,174.2,187.8,294.9,207.0,306.5,311.8,388.2
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,24.8,30.6,49.0,55.4,193.6,303.5,167.8,194.6,220.4,257.3,654.4,777.0,921.2,1245.5,1359.1
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,9.9,4.9,6.7,13.0,13.3,16.1,87.4,96.6,170.1,283.5,337.1,356.4,332.6,431.0,443.2
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,54.0,67.3,60.7,34.1,55.2,11.9,87.8,160.8,281.2,406.3,150.4,209.8,284.8,317.7,450.8
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,8.7,13.2,12.7,19.3,19.8,31.2,33.4,38.5,60.6,235.8,279.5,288.4,363.2,390.0,516.6
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.4,582.6,1031.1,1470.4,2154.8,2178.7,2282.5,3235.8
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,3.1,4.1,5.3,10.1,10.2,13.7,15.7,28.4,24.1,144.3,192.9,210.0,308.2,232.0,303.2
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,36.5,44.8,58.8,77.0,86.9,147.1,153.6,171.4,237.6,289.0,433.2,511.1,689.5,740.6,895.3
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,196.7,242.8,288.5,370.8,422.6,480.8,557.1,271.9,331.7,348.5,440.6,305.7,330.7,480.5,540.4
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,16.2,18.8,21.4,34.5,41.5,83.6,106.5,124.5,139.3,184.9,252.8,266.9,281.2,391.0,484.2
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,2.1,2.9,3.3,8.3,8.3,19.8,22.0,23.3,39.0,56.5,158.4,176.6,188.5,268.9,401.5
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,27.8,38.3,42.8,77.9,79.7,105.9,111.6,118.0,179.6,268.5,335.3,415.0,499.2,632.8,752.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,4701.4,5727.3,6934.9,9278.6,10463.2,9744.6,7965.7,13269.8,27454.7,33122.3,36376.5,35935.3,54352.5,73767.1,90626.6
