Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,16726.0,17286.4,17564.3,17814.1,18048.0,18276.1,18488.9,18666.3,18829.6,18949.0,19158.2,19334.9,19517.5,19739.6,20085.2,20602.6
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,945.5,973.8,983.5,996.6,1011.9,1026.6,1042.2,1054.6,1064.8,1063.0,1074.7,1066.1,1067.6,1072.6,1098.6,1142.9
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,158.6,164.8,166.3,168.8,172.2,175.9,178.7,180.8,183.5,182.2,195.0,205.8,214.7,213.7,215.5,226.1
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,95.8,100.0,101.4,102.8,104.2,105.9,107.3,108.6,108.2,107.1,107.7,105.6,105.6,109.7,117.7,117.1
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,91.7,94.3,95.9,97.0,98.4,100.1,101.9,103.1,107.2,105.9,106.0,103.4,105.3,106.4,107.1,109.7
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.4,11.8,11.3,11.9,12.3
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,26.7,28.0,28.2,28.6,28.9,29.3,29.7,30.0,29.7,29.9,29.2,27.2,27.9,28.1,29.3,26.9
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,46.3,47.8,48.1,48.9,49.4,50.2,51.0,51.6,51.3,51.8,39.3,38.5,38.8,38.9,39.8,40.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,66.5,67.8,68.2,69.2,70.2,70.9,71.8,72.7,71.9,72.4,73.3,72.6,71.4,73.0,73.6,80.8
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,25.5,26.3,26.6,26.8,27.2,27.6,28.1,28.4,29.3,29.4,28.7,28.3,26.0,27.2,27.9,26.3
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,16.3,16.7,16.8,17.0,17.3,17.3,17.5,17.7,17.3,17.6,17.7,18.3,17.4,17.5,17.7,18.2
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,26.0,25.5,25.6,25.6,26.0,26.2,26.6,26.9,27.2,26.9,26.9,26.7,28.2,28.1,29.2,30.4
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,42.2,41.1,40.8,42.0,41.7,42.2,43.1
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,22.5,22.7,22.4,22.4,22.7,22.8,23.1,23.4,22.7,23.1,23.2,22.9,20.6,20.0,20.7,21.3
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,102.3,106.4,108.2,109.6,111.3,113.0,114.8,116.2,119.6,118.5,119.7,117.4,114.0,115.4,119.7,126.6
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,106.7,105.0,105.1,106.6,108.3,109.6,111.2,112.5,68.9,69.5,68.3,64.2,62.6,62.3,64.4,65.7
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,59.1,60.9,61.6,62.5,63.2,63.6,64.3,65.1,65.8,66.3,65.8,61.7,61.7,60.0,59.9,63.4
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,26.4,30.1,30.2,30.8,31.2,31.3,31.7,32.1,32.9,33.1,33.4,33.3,31.7,30.3,32.4,33.7
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,75.1,77.5,78.9,80.0,81.4,82.9,84.5,85.5,87.5,87.1,87.4,87.0,87.9,89.0,89.6,100.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1561.2,1597.4,1606.8,1641.7,1667.9,1691.2,1709.1,1722.2,1733.3,1741.7,1754.8,1745.3,1780.8,1799.6,1807.4,1870.3
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,256.6,231.4,232.9,237.9,243.3,246.8,249.4,250.9,254.2,255.5,274.6,278.2,285.7,296.4,288.1,300.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,23.0,22.6,22.8,23.4,23.8,24.0,24.3,24.4,23.5,23.6,23.9,24.3,23.5,23.2,24.0,24.6
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,82.7,88.9,89.5,91.5,92.9,94.3,95.3,96.0,95.9,96.4,97.1,97.4,97.7,96.2,100.9,100.7
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,125.0,130.8,131.6,134.4,136.6,138.2,139.7,140.8,142.7,143.5,142.5,145.3,145.2,145.9,147.4,151.2
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,93.9,101.2,101.7,103.7,105.3,106.9,108.0,108.9,110.5,110.9,109.7,110.2,113.2,112.7,114.2,117.7
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,32.8,36.2,36.5,37.3,39.0,39.5,39.9,40.2,40.3,40.6,40.9,39.3,40.7,41.0,41.9,43.1
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,69.2,73.0,73.3,75.0,75.1,76.2,77.0,77.6,79.3,79.7,80.3,79.4,80.6,80.5,81.8,92.2
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,90.5,96.0,96.5,98.5,100.1,101.5,102.6,103.3,103.3,103.8,103.4,102.0,104.7,107.5,107.0,107.2
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,117.9,120.2,121.0,123.7,125.6,127.3,128.7,129.5,129.8,130.4,130.6,126.3,130.6,129.7,130.8,138.3
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,29.3,30.7,30.5,31.3,32.1,32.5,32.8,33.2,32.8,32.8,33.1,33.5,33.8,33.4,34.6,33.4
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,104.0,110.1,110.6,113.0,114.8,116.3,117.5,118.5,119.3,120.0,119.9,117.9,119.3,120.5,118.8,128.5
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,158.4,164.0,165.0,168.7,171.2,173.7,175.5,177.0,178.8,179.6,176.9,172.7,182.5,184.2,186.1,187.4
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,84.2,88.1,88.8,90.7,91.6,93.0,94.0,94.7,96.1,96.5,96.3,96.0,95.7,98.4,98.9,104.3
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,145.2,150.4,151.6,155.0,156.5,158.7,160.4,161.8,162.9,163.7,161.8,160.0,163.2,167.9,167.3,170.6
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,92.3,97.4,97.8,99.8,101.4,102.9,104.0,104.7,103.5,104.0,102.7,100.9,103.8,99.7,100.5,105.2
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,56.2,56.4,56.7,57.8,58.6,59.4,60.0,60.7,60.4,60.7,61.1,61.9,60.6,62.4,65.1,65.9
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,987.6,1008.3,1025.7,1035.1,1045.0,1055.8,1065.4,1073.1,1077.8,1081.0,1067.1,1072.3,1074.7,1089.2,1085.3,1134.7
