Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,21872.8,28539.0,36946.4,46863.0,58136.6,71184.1,88071.6,105229.9,133195.2,166094.4,199518.8,252056.6,270687.2,330448.1,410068.1
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,711.3,897.3,1155.2,1568.3,1977.8,2397.7,2950.4,3527.8,4496.8,5705.8,6861.8,7582.5,9557.9,11392.6,14263.8
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,269.2,300.1,387.4,488.9,574.6,699.6,855.0,1006.4,1248.6,1885.7,2218.7,1954.8,2577.6,3061.8,3762.5
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,52.2,68.3,81.8,108.1,144.8,172.7,212.3,252.7,332.7,372.2,457.0,530.8,653.9,766.8,963.9
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,56.1,76.5,112.4,160.8,201.8,243.0,301.2,347.5,449.5,431.3,575.5,630.7,740.1,904.7,1008.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,40.7,33.3,39.3,44.0,51.9
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,16.5,19.2,20.4,32.4,41.9,53.0,64.2,126.3,147.2,182.6,193.7,222.3,275.8,324.7,353.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,15.1,23.2,31.9,67.6,81.9,98.8,119.3,94.5,110.1,120.0,165.2,182.3,234.3,276.5,368.5
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,55.6,78.9,102.2,119.0,108.9,131.6,162.1,236.9,305.3,399.2,492.5,527.4,664.3,775.4,911.3
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,16.4,25.0,31.4,45.8,64.3,77.6,95.7,96.1,111.6,132.8,156.0,195.2,234.5,281.0,313.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,2.4,3.5,3.9,4.8,14.6,17.8,21.6,26.9,33.2,47.7,51.2,74.9,88.3,108.4,249.6
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,7.3,9.2,10.0,23.3,36.1,43.9,53.1,68.6,80.5,92.8,113.7,141.9,195.5,240.8,312.5
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,21.3,29.2,0.0,0.0,0.0,0.0,0.0,83.0,107.9,131.2,156.8,185.7,220.7,280.5,305.7
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,20.5,23.1,28.5,42.4,55.3,66.2,81.0,100.1,116.5,140.3,149.0,164.3,210.0,275.9,322.4
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,50.8,71.3,101.3,131.9,187.3,224.0,278.2,316.5,513.8,591.9,621.6,1024.6,1297.5,1578.4,1722.6
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,63.1,82.1,132.4,190.5,232.4,277.3,347.1,342.4,420.5,519.0,695.4,749.6,901.7,1045.2,1240.7
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,25.1,34.6,43.8,60.5,80.9,102.5,125.6,138.7,161.3,224.9,259.8,330.2,436.3,509.5,587.4
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,8.3,11.6,14.5,23.7,43.6,53.2,64.5,80.1,93.1,121.5,143.7,159.8,199.0,223.9,283.6
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,31.4,41.5,53.3,68.6,109.4,136.5,169.5,211.2,265.0,312.1,371.3,474.8,589.0,695.1,826.9
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1704.2,2230.8,2835.0,3671.1,4563.8,5564.3,6777.8,8124.9,10367.9,12704.3,14810.1,15376.3,19046.9,22770.8,28630.5
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,725.3,870.1,1121.7,1399.5,1318.5,1610.7,2068.1,2498.8,3301.7,3990.7,4782.4,4079.3,5242.9,6317.0,7610.4
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,11.1,16.0,17.0,31.2,53.3,64.7,77.2,90.9,87.6,112.6,160.3,172.7,198.3,237.8,287.4
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,56.7,95.1,130.2,107.2,151.8,173.8,214.0,254.2,301.7,392.2,540.1,622.9,790.0,1000.0,1303.6
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,50.4,58.8,181.5,157.6,264.8,335.5,409.0,489.7,554.1,736.3,866.2,997.1,1233.4,1416.8,1629.7
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,46.4,80.5,81.0,95.8,199.4,339.0,366.8,437.9,424.2,422.4,725.9,826.5,1246.4,1523.9,1779.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,12.0,14.3,18.8,95.0,46.3,78.7,94.0,111.0,120.6,244.4,260.9,198.9,278.1,315.3,399.8
