Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,658.2,622.4,626.3,639.7,687.0,709.4,724.0,837.0,1368.6,1335.3,1561.0,1441.8,1332.7,1024.1,836.0,744.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,46.6,41.7,41.3,40.3,35.7,35.4,36.5,41.6,74.3,70.9,82.6,78.9,71.9,56.3,46.4,42.4
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,7.3,6.5,6.6,6.6,5.8,5.8,6.1,7.0,12.1,12.8,14.0,14.1,12.7,9.3,7.6,6.9
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,5.7,4.7,3.6,3.5,3.1,3.1,3.2,3.6,7.4,7.3,9.1,8.6,7.3,5.8,5.2,4.5
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,4.4,3.9,4.0,3.9,3.5,3.5,3.5,4.1,7.2,7.1,8.1,7.8,7.4,5.5,4.6,4.2
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.7,0.5,0.4
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,1.3,1.2,1.2,1.1,1.0,1.0,1.0,1.2,2.1,1.8,2.3,2.1,1.9,1.5,1.2,1.1
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,2.0,1.8,2.2,2.1,1.9,1.9,1.9,2.2,3.7,3.4,3.2,2.9,2.8,2.2,1.8,1.8
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,3.3,2.9,2.9,2.9,2.5,2.5,2.6,2.9,6.0,5.3,6.2,5.9,5.3,4.1,3.4,3.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,1.2,1.1,1.1,1.1,0.9,0.9,1.0,1.1,2.1,1.8,2.2,2.0,1.7,1.4,1.1,0.9
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1.2,0.9,0.8,0.8,0.7,0.7,0.7,0.8,1.3,1.0,1.2,1.3,1.0,1.0,0.8,0.7
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,1.4,1.3,1.4,1.5,1.4,1.4,1.4,1.6,2.0,1.9,2.4,2.3,2.0,1.6,1.3,1.2
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.9,3.5,3.3,3.0,2.5,2.0,1.9
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,1.5,1.4,1.0,1.1,1.0,0.9,1.0,1.1,2.2,1.7,1.9,1.7,1.5,1.3,1.0,0.9
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,3.5,4.2,4.6,4.1,3.6,3.6,3.8,4.3,7.4,7.0,8.4,7.7,7.4,6.0,5.0,4.5
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,5.2,4.5,4.7,4.5,4.0,3.9,4.1,4.7,5.0,4.4,4.9,4.5,4.1,3.3,2.7,2.5
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,2.7,2.4,2.4,2.4,2.1,2.1,2.2,2.5,4.7,4.6,5.0,4.9,4.5,3.4,2.7,2.8
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,2.2,1.6,1.5,1.5,1.3,1.3,1.1,1.2,2.8,2.0,2.4,2.4,2.1,1.7,1.5,1.5
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,3.7,3.3,3.3,3.2,2.9,2.8,2.9,3.3,6.1,5.9,6.9,6.5,6.4,5.0,4.0,3.6
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,68.2,64.6,66.3,68.5,73.7,75.6,77.5,84.9,134.8,129.4,150.6,138.8,130.5,100.7,76.9,70.6
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,8.7,7.9,8.4,8.7,9.4,9.6,9.8,10.8,19.1,18.6,21.8,19.0,17.5,13.4,10.2,9.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,1.1,0.6,0.9,1.0,1.0,1.1,1.1,1.2,1.6,1.6,1.9,1.8,1.6,1.2,1.0,0.9
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,3.8,4.3,4.0,4.2,4.5,4.6,4.7,5.2,7.9,7.4,9.0,8.2,7.4,5.8,4.3,3.6
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,4.8,4.4,4.8,5.0,5.3,5.5,5.6,6.1,10.4,10.6,12.5,11.6,10.4,8.3,6.4,5.7
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,4.2,4.0,4.2,4.3,4.7,4.8,4.9,5.4,8.7,8.4,9.4,8.9,8.8,6.6,4.9,4.6
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,1.5,1.4,1.6,1.6,1.7,1.8,1.8,2.0,3.1,3.0,3.6,3.3,3.0,2.3,1.8,1.8
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,3.1,2.9,2.9,3.0,3.3,3.3,3.4,3.7,6.8,6.1,7.2,6.9,6.3,4.8,3.7,4.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,4.1,4.2,4.0,4.1,4.4,4.5,4.6,5.1,8.4,7.8,9.3,9.0,8.5,6.5,5.0,4.6
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,5.2,4.9,5.1,5.2,5.6,5.8,5.9,6.5,10.2,9.5,10.9,10.0,9.8,7.7,5.8,5.6
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.9,2.8,2.5,3.0,2.9,2.6,2.0,1.6,1.4
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,5.9,5.4,5.2,5.4,5.8,5.9,6.1,6.6,8.7,9.3,10.6,10.0,9.2,7.2,5.6,5.7
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,6.9,6.4,6.7,7.0,7.5,7.7,7.9,8.6,13.3,12.8,15.2,13.9,13.9,10.6,8.0,6.7
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,3.7,3.5,3.8,3.9,4.2,4.4,4.5,4.9,7.8,7.2,8.3,7.8,7.1,5.6,4.3,4.3
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,5.5,5.2,6.0,6.2,6.7,6.8,7.0,7.7,12.6,12.0,13.7,12.2,12.1,9.2,7.2,6.5
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,5.5,5.4,4.5,4.6,5.0,5.1,5.3,5.8,8.4,7.9,8.8,8.2,7.6,5.8,4.2,3.9
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,2.4,2.3,2.6,2.7,2.9,3.0,3.1,3.4,5.0,4.7,5.4,5.1,4.7,3.7,2.9,2.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,41.9,40.3,40.1,40.9,45.3,48.2,47.1,48.1,77.6,78.3,93.9,84.9,75.8,55.6,45.1,41.5
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,6.5,6.3,6.3,6.7,7.4,7.9,7.7,7.9,10.7,11.5,13.9,11.9,10.6,7.7,5.9,4.9
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,1.4,1.2,1.2,1.4,1.6,1.7,1.7,1.7,2.4,2.5,3.0,2.8,2.6,1.9,1.5,1.2
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,2.1,2.4,2.4,2.2,2.4,2.5,2.5,2.5,4.1,4.1,4.7,4.4,3.9,2.9,2.5,2.2
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,3.3,3.4,3.5,3.5,3.9,4.2,4.1,4.2,6.7,7.0,8.2,7.4,6.6,4.7,4.0,4.6
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,3.0,2.8,2.4,2.6,2.9,3.1,3.0,3.1,5.5,5.6,7.3,6.6,5.9,4.4,3.5,3.1
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,4.6,6.0,6.3,6.4,7.1,7.6,7.4,7.5,12.3,12.2,14.2,13.1,11.3,8.3,6.9,6.1
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,1.6,1.3,1.5,1.7,1.9,2.1,1.5,1.6,3.1,3.0,4.0,3.7,3.4,2.5,2.0,1.7
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,3.5,2.9,3.0,3.1,3.5,3.7,3.6,3.7,6.6,6.7,7.6,7.2,6.6,4.7,3.8,3.6
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,1.5,1.4,1.9,1.7,1.5,1.1,0.9,0.8
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,3.5,3.4,2.4,2.5,2.8,2.9,2.9,2.9,4.8,4.9,5.9,5.3,4.6,3.6,2.8,2.5
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,3.0,2.8,3.4,3.0,3.1,3.3,3.7,3.8,5.6,5.6,6.8,6.3,5.9,4.4,3.5,3.7
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,3.6,3.4,3.5,3.6,4.0,4.2,4.1,4.2,6.8,6.6,7.7,6.7,5.9,4.3,3.7,3.4
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,5.4,4.1,3.9,3.9,4.4,4.6,4.5,4.6,7.5,7.2,8.7,7.8,7.0,5.1,4.1,3.7
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,23.0,21.5,21.2,22.2,24.6,24.0,26.0,24.4,52.8,54.1,65.8,61.9,56.3,43.5,34.6,30.7
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,2.2,2.7,2.8,3.0,3.3,3.2,3.5,3.0,7.3,7.2,9.1,8.4,7.5,5.1,4.0,3.6
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.9,2.2,1.9,2.5,2.3,1.9,1.7,1.3,1.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,2.6,2.2,2.3,2.5,2.7,2.7,2.9,2.8,5.8,6.0,7.0,6.5,6.0,4.7,3.9,3.4
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,2.9,2.5,2.6,2.8,3.1,3.0,3.2,3.2,6.8,6.6,8.1,7.7,6.8,5.3,4.2,3.3
