year,wb_gdp_deflator,wb_cpi,wb_inflation_cpi_pct,wb_exchange_rate_uzs_usd,wb_real_gdp_growth_pct,wb_real_gdp,wb_real_gdp_per_capita,wb_gdp_current_usd,wb_gni_per_capita_atlas,wb_agriculture_pct_gdp,wb_industry_pct_gdp,wb_services_pct_gdp,wb_population,wb_dependency_ratio,wb_unemployment_pct,wb_participation_pct,wb_participation_female_pct,wb_employment_agriculture_pct,wb_employment_industry_pct,wb_employment_services_pct,wb_capital_formation_pct_gdp,wb_trade_pct_gdp,wb_exports_pct_gdp,wb_imports_pct_gdp,wb_remittances_pct_gdp,wb_current_account_pct_gdp,wb_fdi_pct_gdp,wb_reserves_months,wb_external_debt_usd,wb_revenue_pct_gdp,wb_expense_pct_gdp,wb_net_lending_pct_gdp,wb_poverty_national_pct,wb_poverty_215_pct,wb_gini_index
1987,6.7079525385662e-05,,,,,30905406089.1808,1632.60918153926,8523160592.61112,,25.505152370824,35.3404965345264,31.5266419744032,18930070,76.9161524232238,,,,,,,,,,,,,,,,,,,,,
1988,6.62027425014984e-05,,,,9.13858227515796,33729722052.1123,1733.22868026946,10722799639.3121,,28.0335012937491,34.2945662535748,33.4842707340324,19460630,76.7338817960995,,,,,,,,,,,,,,,,,,,,,
1989,6.71166934028022e-05,,,,3.09129397309782,34772406917.0519,1740.60611634042,11948815258.1132,,31.1355788650726,32.5623819141312,36.3020392207961,19977183,76.5311041209389,,,,,,,,,,,,,,,,,,,,,
1990,6.97877293041349e-05,,,,1.60000000583709,35328765429.7544,1726.30546724627,13362340337.8657,630.0,33.1139918101534,33.3141126843949,34.6378706398934,20464956,76.6016505407828,,56.158,38.24,,,,,,,,,,,,,,,,,,
1991,0.000133104237874575,,,,-0.492000005163135,35154947902.016,1677.00705207512,13800167711.5003,650.0,37.0931919615658,36.6821393582055,26.5388883382914,20962910,76.9292635236091,1.9,56.919,38.977,38.7673883094858,19.4006464021235,41.8319510786276,,,,,,,,,,,,,,,
1992,0.00108100508332577,,,,-11.1999999973161,31217593737.9337,1452.98873488236,12953801760.2414,600.0,35.1391853548148,36.126464760699,29.6291957516167,21485090,77.2832853868679,2.9,57.276,39.363,39.0275801128894,18.9788252729886,41.993594614122,43.9301488105631,,,,,,0.0694776727834706,,59702042.9,,,,,,
1993,0.0127437835852316,,,,-2.30000000438953,30499589080.5909,1387.10439786651,13099920055.9608,590.0,27.5850886870416,31.2326868275451,31.7803709936955,21987955,77.5811998724592,4.9,57.572,39.659,39.079919849079,18.7567088459164,42.1633713050046,14.6502375108632,,,,,,0.366414449820697,,1031699376.2,,,,,,
1994,0.170587684364753,,,,-5.19999999306724,28913610450.5146,1287.14935182537,12899074922.38,570.0,34.3455984808316,24.2530549835382,33.1703083961182,22463291,77.6190343652758,7.3,57.822,39.963,39.5347691393009,18.3871198598417,42.0781110008574,18.2004266495678,,,,,,0.565932056672873,,1247180534.1,,,,,,
1995,0.803372384533888,,,29.775,-0.90000000546128,28653387954.881,1250.27933587957,13350461264.9969,580.0,28.0499215125601,24.1434498738884,34.6629135369945,22917589,77.3436588329064,7.8,57.797,39.933,39.3909225468746,18.2074763370386,42.4016146371995,24.1998260825338,,,,,,-0.179769069574583,,1803493027.6,,,,,,
1996,1.45856477881458,,,40.0666666666666,1.700000003062,29140495550.9913,1247.8810920149,13948892215.5689,590.0,22.3647561421471,26.0832065159454,37.124261006998,23351981,76.7869581513787,10.7,57.502,39.698,39.1551857867856,18.1201652254374,42.724648987777,23.000095157758,,,,,,0.645212527339969,,2394880249.5,,,,,,
