metric_id,metric_code,metric_name,metric_short,official_code,unit,unit_raw,price_basis,is_deflatable,per_capita_meaningful,source,source_id,grain,metric_group,periodicity,methodology_url,notes
1,active_enterprises,Number of operating enterprises and organizations (annually),Active Enterprises,1.09.01.0023,units,Unit,not applicable,False,True,stat.uz,256,regional,stat.uz regional indicator,annually,https://lex.uz/ru/docs/-2407581,"Excluding dehkan farms and farms, as of January 1. According to the Decree of the President of the Republic of Uzbekistan No. PD-113 dated April 20, 2022, uniformity of databases is ensured Tax Committee, Statistic Agency and Ministry of Justice for registered legal entities."
2,agricultural_output,Total volume of agricultural production (annual),Agricultural Output,1.03.02.0001,billion UZS,billion soums,current,True,True,stat.uz,1439,regional,stat.uz regional indicator,annual,https://lib.stat.uz/ru/features-3/selskoe-khozyajstvo-i-ekologiya,The information is given for January-December
3,air_pollutant_emissions,Pollutants released into the atmosphere,Air Pollutant Emissions,3.02.02.0001,thousand tons,thousand tons,not applicable,False,True,stat.uz,1569,regional,stat.uz regional indicator,annual,https://lib.stat.uz/ru/features-3/selskoe-khozyajstvo-i-ekologiya,The information is given for January-December
4,births_total,Number of births (total),Births Total,2.01.01.0001,persons,person,not applicable,False,True,stat.uz,223,regional,stat.uz regional indicator,annual,"Number of births (total) - is the sum of the number of complete separations of the fetus from the mother's body, regardless of the gestational age. A live birth is a child born alive even with breathing, heartbeat, pulsation of the umbilical cord, and involuntary muscle contractions. In this case, the mother's pregnancy must be 22 weeks or more, the child's height must be 25 cm or more, and its weight must be 500 grams or more. Detail: https://lib.stat.uz/uz/features/demografiya-va-mehnat/853-asosiy-demografik-ko-rsatkichlarni-shakllantirish-bo-yicha-uslubiy-nizom-2",Bozatov district was established in 2020; The city of Takhiatash was closed in 2013 and formed in 2018 as Takhiatash district; The city of Shahrisabz was founded in 2018; The city of Gazgan was founded in 2020; Bandikhan district was formed in 2020; The city of Nurafshan was founded in 2018; The city of Ahangaron was founded in 2018; Yangiyul city was founded in 2018; Tashkent district was established in 2018; The city of Khiva was founded in 2018; Tuproqqala district was established in 2021; Yangihayot district was formed in 2021; Kokdala district was formed in 2022.
5,construction_output,Volume of construction works (annual),Construction Output,1.04.02.0001,billion UZS,billion soums,current,True,True,stat.uz,2402,regional,stat.uz regional indicator,,https://lib.stat.uz/images/metodika/rus-ilova.pdf,"The total volume of completed construction works has an unallocated volume according to regions:- In 2019, the Ghazgan district was formed.5. In Surkhandarya region:- In 2011-2018, the Bandikhan district was part of the Kyzyrik district.6. In the Tashkent region:- Since 2018, the Nurafshan, Okhangaron, Yangiyul cities and Tashkent district have been formed.7. In the Khorezm region:- Tuprakkal`a district was formed in 2020, and the Khiva city - in 2017.8. In the Tashkent city:- Yangikhayat district was formed in 2020."
6,consumer_goods_output,Volume of production of consumer products (annual),Consumer Goods Output,1.02.01.0005,billion UZS,Billion soums,current,True,True,stat.uz,581,regional,stat.uz regional indicator,Аnnual,https://lib.stat.uz/uz/features/sanoat/666-erbfgheheh5446456-2,"2010-2021 annual final indicators, 2022 year preliminary data, in current prices, according to the methodological regulation on the formation of the volume of production of consumer goods"
7,deaths_total,Deaths total,Deaths Total,2.01.01.0007,persons,person,not applicable,False,True,stat.uz,226,regional,stat.uz regional indicator,annual,Number of deaths (total) is the sum of the numbers of complete cessation of biological and physiological processes of the body's life. Detail: https://lib.stat.uz/uz/features/demografiya-va-mehnat/853-asosiy-demografik-ko-rsatkichlarni-shakllantirish-bo-yicha-uslubiy-nizom-2,Bozatov district was established in 2020; The city of Takhiatash was closed in 2013 and formed in 2018 as Takhiatash district; The city of Shahrisabz was founded in 2018; The city of Gazgan was founded in 2020; Bandikhan district was formed in 2020; The city of Nurafshan was founded in 2018; The city of Ahangaron was founded in 2018; Yangiyul city was founded in 2018; Tashkent district was established in 2018; The city of Khiva was founded in 2018; Tuproqqala district was established in 2021; Yangihayot district was formed in 2021; Kokdala district was formed in 2022.
8,economically_active_population,Number of economically active population,Economically Active Population,2.02.01.1300,thousand persons,thousand people,not applicable,False,True,stat.uz,554,regional,stat.uz regional indicator,annual,Economically active population – employed citizens and unemployed. Detail. https://lex.uz/en/docs/3469431,
9,electricity_production,Volume of electricity production,Electricity Production,1.02.02.0004,million kWh,Million kWt hour,not applicable,False,True,stat.uz,440,regional,stat.uz regional indicator,Аnnual,https://lib.stat.uz/uz/features/sanoat/428-sanoat-ishlab-chiqarishning-energiya-samaradorligini-aniqlash-bo-yicha-uslubiy-nizomga-kiritilayotgan-o-zgartirish-va-qo-shimchalar,"2010-2022 annual final indicators, 2023 year preliminary data, Republic of Uzbekistan (including unallocated data by region)"
10,employment_rate,Employment rate,Employment Rate,2.02.01.1900,%,percent,not applicable,False,False,stat.uz,1311,regional,stat.uz regional indicator,annual,Employment rate – the number of people employed in the economy is calculated by dividing by the number of people of working age and multiplying by a hundred. Detail: https://lex.uz/en/docs/3469431,The ratio of the number of employed population to the working age population | Preliminary data for 2024
