year,gdp_deflator,cpi,exchange_rate_uzs_usd,real_gdp_growth_pct,deflator_ratio,currency_era,is_float_year,policy_era,decade,has_regional_data,in_analysis_window,gini_real_gdp_pc,gini_nominal_levels,sigma_log_dispersion
1987,6.7079525385662e-05,,,,6.7079525385662e-07,Managed rate (pre-2017),False,0. Before analysis window,1980s,False,False,,,
1988,6.62027425014984e-05,,,9.13858227515796,6.620274250149839e-07,Managed rate (pre-2017),False,0. Before analysis window,1980s,False,False,,,
1989,6.71166934028022e-05,,,3.09129397309782,6.71166934028022e-07,Managed rate (pre-2017),False,0. Before analysis window,1980s,False,False,,,
1990,6.97877293041349e-05,,,1.60000000583709,6.978772930413491e-07,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1991,0.0001331042378745,,,-0.492000005163135,1.331042378745e-06,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1992,0.0010810050833257,,,-11.1999999973161,1.0810050833257e-05,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1993,0.0127437835852316,,,-2.30000000438953,0.00012743783585231598,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1994,0.170587684364753,,,-5.19999999306724,0.00170587684364753,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1995,0.803372384533888,,29.775,-0.90000000546128,0.00803372384533888,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1996,1.45856477881458,,40.0666666666666,1.700000003062,0.014585647788145799,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1997,2.4224874732642,,62.9166666666667,5.19999999656406,0.024224874732642,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1998,3.36720806231675,,94.4916666666667,4.30000000106274,0.033672080623167504,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
1999,4.85266413152183,,124.625,4.30000000179402,0.0485266413152183,Managed rate (pre-2017),False,0. Before analysis window,1990s,False,False,,,
2000,7.14761590683219,,236.608333333333,3.83500000014025,0.0714761590683219,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2001,10.3811599095306,,,4.16383824998903,0.103811599095306,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2002,15.1028361081615,,,3.97348819235708,0.151028361081615,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2003,19.145137861074,,,4.23262738154382,0.19145137861074002,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2004,22.1927134155856,,,7.4490006055965,0.22192713415585602,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2005,26.948804214717896,,,6.95000719569107,0.269488042147179,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2006,33.2725589473024,,,7.45141847621767,0.332725589473024,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2007,40.55828442873,,,9.47300530544537,0.40558284428729996,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2008,51.42449166902539,,,9.02916101784781,0.514244916690254,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2009,60.3011637934267,,,8.05093332733964,0.603011637934267,Managed rate (pre-2017),False,0. Before analysis window,2000s,False,False,,,
2010,100.0,100.0,,7.5971679610016,1.0,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.21516245413612856,0.27466954193960924,0.3809317457659693
2011,121.377077008577,113.77974464765998,,8.12793681625645,1.21377077008577,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.20206443375918548,0.2638396922723347,0.3609792160839212
2012,139.171601583605,128.808686595277,,7.35682138899483,1.39171601583605,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.20180175580712012,0.2645811465526664,0.3601447679525237
2013,156.923270463417,144.061481383188,2094.98846505376,7.9217749261021,1.56923270463417,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.19414399623232748,0.26292092629671737,0.34562597071473217
2014,177.477627869396,157.434843486255,2310.94815880696,7.71373911707978,1.77477627869396,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.19162872426933486,0.2616931938888356,0.34066321417371365
2015,195.230686124013,171.213355163693,2567.98721339827,7.94477659311639,1.95230686124013,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.18852335309116386,0.2606397280884296,0.33470728748207523
2016,211.91956146702,185.134519079165,2965.25349937684,6.71108022628,2.1191956146702,Managed rate (pre-2017),False,1. Pre-reform boom,2010s,True,True,0.1910173459028095,0.2636526087870532,0.33845720331001017
2017,257.782089314789,210.823308306966,5113.87894595717,4.70027401956061,2.57782089314789,Floating rate (2017+),True,2. Reform and float,2010s,True,True,0.21471907365411802,0.2682309944513275,0.38181423731530795
2018,326.419541594495,247.76836360171498,8069.60623655914,5.72368380757618,3.26419541594495,Floating rate (2017+),False,2. Reform and float,2010s,True,True,0.22785087370172774,0.26486403106771195,0.40503608187547036
2019,383.035837319382,283.758541881172,8836.7875,6.79331098484522,3.8303583731938198,Floating rate (2017+),False,2. Reform and float,2010s,True,True,0.2645090207969789,0.271423320501915,0.4620113370467711
2020,428.58751077357897,320.271824153995,10054.2613341653,1.62162281640448,4.28587510773579,Floating rate (2017+),False,3. Pandemic,2020s,True,True,0.2980091034842327,0.2858680948896257,0.5110193962074007
2021,483.77933599888803,355.018882210762,10609.464390809,8.20448512353877,4.83779335998888,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,0.2922149626959796,0.2942525273403209,0.5060175711950795
2022,551.717951092703,395.656628724737,11050.145422363,6.08592335737373,5.517179510927029,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,0.28563162503350203,0.2908278573385725,0.49440162961850553
2023,628.483844755428,435.050539874052,11734.8334198669,6.31603004201926,6.28483844755428,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,0.28780056530363485,0.2968792585628799,0.49841501048762477
2024,716.909849103634,476.938313750946,12652.2868209739,6.67618796188361,7.16909849103634,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,0.3250048853919887,0.327816743465406,0.5562127104441216
2025,801.880033168474,518.891660593249,12579.3943476702,7.69962477932913,8.01880033168474,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,0.3399364543389045,0.3327350396097717,0.5773486434410897
2026,,,,,,Floating rate (2017+),False,4. Post-pandemic,2020s,True,True,,,
