period,region_code,log_initial,annual_growth_pct
Full period,1703,-6.2223663336539214,4.682759824286724
Full period,1706,-5.750123547276879,3.243343486492598
Full period,1708,-6.126265677149406,4.372569476476241
Full period,1710,-5.837706021792441,0.8604510221896358
Full period,1712,-5.225265108143886,8.185998151732084
Full period,1714,-6.344067965545865,4.435519902949603
Full period,1718,-6.079078863122824,2.9121411372712522
Full period,1722,-6.30213658608941,2.8786622655405907
Full period,1724,-5.952534598937876,3.7162107932735986
Full period,1726,-5.238191511912739,6.870481542795372
Full period,1727,-5.7358907555444585,5.439785575105194
Full period,1730,-6.204785297722348,3.319921578985225
Full period,1733,-6.191253345581123,4.321917534064574
Full period,1735,-6.440436009211561,5.0253013449281125
Pre-reform,1703,-6.2223663336539214,6.7721282239876865
Pre-reform,1706,-5.750123547276879,5.070524056878357
Pre-reform,1708,-6.126265677149406,6.48692808304452
Pre-reform,1710,-5.837706021792441,3.985155522854147
Pre-reform,1712,-5.225265108143886,3.099937562056339
Pre-reform,1714,-6.344067965545865,7.343991145904259
Pre-reform,1718,-6.079078863122824,6.329285270641176
Pre-reform,1722,-6.30213658608941,6.557517461490046
Pre-reform,1724,-5.952534598937876,7.432287441161405
Pre-reform,1726,-5.238191511912739,7.528995449537315
Pre-reform,1727,-5.7358907555444585,5.585972628187871
Pre-reform,1730,-6.204785297722348,5.7671629041092825
Pre-reform,1733,-6.191253345581123,7.048697729520784
Pre-reform,1735,-6.440436009211561,9.208667614019992
Post-float,1703,-5.8094129125728005,3.4661850617002976
Post-float,1706,-5.472104452616518,2.51498562069432
Post-float,1708,-5.729694164152102,3.0798316244195667
Post-float,1710,-5.730245274650335,0.18574851377776905
Post-float,1712,-4.88039824065123,11.445326767854805
Post-float,1714,-5.906492393463443,2.6199602047217443
Post-float,1718,-5.717897619977594,0.6645502296106549
Post-float,1722,-5.904482324651546,0.07654936768313338
Post-float,1724,-5.541610887201908,1.562082847461933
Post-float,1726,-4.684729558727115,5.83436375436754
Post-float,1727,-5.379634679361989,5.790198633317972
Post-float,1730,-5.901025310306941,2.300414766321771
Post-float,1733,-5.823203719855054,3.3859832720424454
Post-float,1735,-5.830715622467148,1.3403114506503107
