year,real_growth_pct,capital_contrib,labour_contrib,tfp_contrib,capital_stock,capital_output_ratio,employed_persons,alpha,delta
1993,-2.3268626984283003,-0.58833211775001,0.3769226031058892,-2.1154531837841795,131822642918.72267,4.32211209699907,6779219.362223519,0.35,0.05
1994,-5.340077665398724,-0.35457927425708746,-0.0034371276582767507,-4.982061263483359,130493911234.5742,4.513234743129483,6778860.894126359,0.35,0.05
1995,-0.9040744707252912,0.10962718066192421,1.0226454245788918,-2.0363470759661073,130903285724.68037,4.568509871530968,6886356.1513180025,0.35,0.05
1996,1.685711709652793,0.04199978341780763,-0.9850499363664866,2.628761862601472,131060463144.61658,4.497537212957869,6782782.8680031765,0.35,0.05
1997,5.069311428285772,-0.2033519883176282,1.222798468927211,4.049864947676189,130301202218.72693,4.250458204121109,6911590.28871168,0.35,0.05
1998,4.21011760288259,0.045019018555052526,-0.344016259928539,4.509114844256077,130468910975.09717,4.0804687499219385,6875106.9276185995,0.35,0.05
1999,4.210117603583541,-0.22085211312910855,1.5734812173359016,2.857488499376748,129648236246.36783,3.8876335674147544,7043566.1681137495,0.35,0.05
2000,3.7632914808202855,0.08214551649336599,1.9927782558488083,1.6883677084781108,129952879931.81981,3.752846936597608,7262853.000346817,0.35,0.05
2001,4.0794841351505795,0.29849992513931056,2.192086276974763,1.5888979330365063,131065931695.64355,3.6336892808665446,7511965.364138784,0.35,0.05
2002,3.8965759428005953,0.37116492386163097,2.1186621080339485,1.4067489109050157,132463244121.63937,3.532081706418865,7760850.53193475,0.35,0.05
2003,4.1455016982073545,0.39609667067159293,2.0417264565417614,1.7076785709939997,133970851721.27136,3.427220032528954,8008497.048452013,0.35,0.05
2004,7.184613603899237,0.9260443348222047,2.130192900940786,4.128376368136247,137562816683.07513,3.275143614693543,8275301.102003864,0.35,0.05
2005,6.71913168212086,1.4209568646845128,2.0617969932615132,3.2363778241748338,143262617063.68393,3.189197030969646,8542000.7591571,0.35,0.05
2006,7.186863828102474,1.6997617227532833,2.028831418293686,3.458270687055505,150391824190.06607,3.1157352292815625,8812825.04805123,0.35,0.05
2007,9.050780598480657,1.6777223828133359,2.202550933131393,5.170507282535927,157776421141.47272,2.9858733161798567,9116568.30852696,0.35,0.05
2008,8.644519273450513,2.269151414762973,1.681945519739969,4.6934223389475695,168344398546.69998,2.922034081795843,9355547.999279128,0.35,0.05
2009,7.743253484827051,2.0638664679101204,2.1116270168096207,3.567760000107309,178569786528.1723,2.86857403860488,9664468.372573841,0.35,0.05
2010,7.322414132817201,1.5678290921262494,1.2827939529439725,4.471791087746979,186750705666.36566,2.7881715741472575,9857093.983232494,0.35,0.05
2011,7.81449402015113,1.5980198988978067,1.9303579607852406,4.286116160468083,195474964826.4104,2.6990471475949045,10154218.268292317,0.35,0.05
2012,7.098787976451959,2.092766217930695,1.672013591401136,3.3340081671201283,207519567116.98267,2.669000994871836,10418806.580141988,0.35,0.05
2013,7.623647245983989,1.8051143358717068,1.2719711457320493,4.5465617643802325,218503127928.281,2.603983703379354,10624697.937208386,0.35,0.05
2014,7.43069584418059,1.9467368662439988,1.0928201603654841,4.3911388175711075,231000848393.84467,2.555777700003311,10804836.984682836,0.35,0.05
2015,7.644958252195266,1.8127876227565662,1.1211653863677995,4.711005243070901,243280552714.62158,2.4935338232006754,10992822.953378491,0.35,0.05
2016,6.495481159804939,1.7688072271744557,0.9855659759898395,3.7411079566406436,255891279454.43753,2.4578413094312532,11160772.271872194,0.35,0.05
2017,4.593154907275121,2.1008592018076655,0.33595452069457465,2.156341184772881,271721382770.9072,2.4927248957246366,11218606.400319496,0.35,0.05
2018,5.56587480858397,3.0824994099289778,1.139416226815424,1.3439591718395685,296737712278.4238,2.5748444161731894,11416996.499017078,0.35,0.05
2019,6.572510734854475,3.518194855416734,1.121248738558407,1.933067140879334,328116417885.92566,2.6660123577211556,11615647.90763089,0.35,0.05
2020,1.6086149508794279,2.880091061064629,-0.8164613199881111,-0.45501479019709,356258572346.34296,2.848481438190051,11470656.929972488,0.35,0.05
2021,7.8852631723577815,2.901331314715403,1.2629556406185927,3.720976217023787,387049261040.84094,2.8600198697381543,11695712.13021931,0.35,0.05
2022,5.907917747815361,2.4850360313497966,3.286801121008694,0.13608059545687085,415529247913.15204,2.8943206615271984,12302327.364776064,0.35,0.05
2023,6.124588800962272,2.411350588692222,0.9316081523522257,2.781630059917824,445166662718.52686,2.9165466647869236,12479919.270878252,0.35,0.05
2024,6.46277792966039,3.1066497826623336,0.8171596257650293,2.5389685212330275,486486989095.7384,2.9877897811214065,12637803.258704292,0.35,0.05
2025,7.4175914225094175,2.3666063333410925,0.46674947705579234,4.584235612112533,520519567591.7087,2.968258211495206,12728878.910720846,0.35,0.05
