Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,30856.7,45285.9,55750.0,66435.3,81794.3,99604.6,115599.2,148199.3,187425.6,216283.1,250250.6,303415.5,345191.7,405418.0,439948.0
Republic of Karakalpakstan,990.4,1282.1,1812.2,2071.4,2558.7,3332.2,3929.8,4801.3,6562.9,8208.1,9751.6,11511.8,13348.2,15212.1,16339.7
Andijan region,2841.1,4264.9,5283.6,6575.4,7992.4,9796.6,11873.4,15290.9,19606.3,23686.7,26096.1,30413.0,35587.4,41035.7,44074.7
Bukhara region,2426.3,3749.3,4489.6,5655.5,6856.6,8290.5,9812.2,12968.8,17064.6,19182.1,23876.0,28529.3,32867.5,37174.5,40307.9
Jizzakh region,1736.2,2661.9,3247.7,3775.4,4772.0,5685.3,6827.1,8835.0,11448.2,13720.1,16352.8,20471.1,23239.2,26730.0,28262.2
Kashkadarya region,2753.7,4235.5,5442.2,6368.8,7689.1,9089.0,10863.6,14360.6,17206.5,19933.9,23777.8,28275.6,32240.7,38462.6,42239.6
Navoi region,1349.7,2024.4,2484.7,2956.7,3556.7,4206.1,5034.7,6470.3,8299.8,9467.8,11309.7,14547.2,15151.7,18318.9,20063.2
Namangan region,1908.9,2914.0,3552.1,4353.1,5470.5,6973.6,7973.7,10215.7,12639.6,15509.0,17913.1,21596.1,25157.7,30015.6,32497.2
Samarkand region,5368.6,6744.0,7808.6,9477.7,11747.6,14300.0,17088.6,21506.8,25658.0,28379.5,32158.0,38549.7,40428.1,49025.9,54647.9
Surkhandarya region,2286.8,4099.6,4825.7,5411.0,6761.9,8218.0,8737.2,11608.1,15046.2,17844.1,19424.0,23415.5,26755.7,32849.3,35234.1
Syrdarya region,1075.0,1638.0,2078.8,2465.3,2868.0,3581.2,4088.4,5074.0,5654.3,7401.5,8002.0,9755.0,11523.3,13241.2,14206.1
Tashkent region,3617.8,5148.2,6484.4,7475.2,9069.2,10735.5,12034.2,15594.8,18359.1,20417.1,23875.1,29538.3,33010.7,38779.8,41311.8
Fergana region,2570.0,3805.2,4788.9,5832.4,7274.3,9180.9,9824.6,12388.0,17457.1,18532.2,21455.5,27501.2,32737.0,38326.0,42347.9
Khorezm region,1932.2,2718.8,3451.5,4017.4,5177.3,6215.7,7511.7,9085.0,12423.0,14001.0,16258.9,19311.7,23144.5,26246.4,28415.7
Tashkent city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
