Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,634810.0,622835.0,625106.0,679519.0,718036.0,734141.0,726170.0,715519.0,768520.0,814960.0,841817.0,905211.0,932217.0,961962.0,926422.0
Republic of Karakalpakstan,37942.0,35840.0,38207.0,39100.0,40883.0,41345.0,39427.0,37754.0,40108.0,41137.0,39286.0,40272.0,42835.0,44021.0,41641.0
Andijan region,59953.0,56662.0,58277.0,64239.0,67905.0,69562.0,68784.0,67368.0,72387.0,77603.0,81425.0,84664.0,86506.0,89400.0,86305.0
Bukhara region,34597.0,32948.0,34257.0,36743.0,38291.0,39352.0,38297.0,37228.0,40338.0,41141.0,41555.0,43173.0,45058.0,46617.0,46067.0
Jizzakh region,25942.0,25191.0,25400.0,27484.0,29912.0,31887.0,31566.0,30984.0,33801.0,36457.0,38118.0,41313.0,40743.0,40875.0,38561.0
Kashkadarya region,63861.0,64074.0,65225.0,71860.0,75649.0,78543.0,77684.0,76687.0,81919.0,86728.0,90330.0,97079.0,98279.0,101852.0,100909.0
Navoi region,18409.0,18045.0,18067.0,19300.0,20116.0,20259.0,20837.0,20563.0,21595.0,22770.0,23888.0,26576.0,26274.0,26805.0,25763.0
Namangan region,50799.0,52203.0,50603.0,56859.0,62285.0,61980.0,62164.0,61380.0,66490.0,71830.0,74720.0,79968.0,82330.0,84496.0,81930.0
Samarkand region,75213.0,73903.0,74137.0,82390.0,87833.0,88649.0,88295.0,89956.0,98909.0,100656.0,101414.0,110455.0,111505.0,113986.0,110865.0
Surkhandarya region,51103.0,54114.0,52512.0,56539.0,60717.0,64424.0,62638.0,64908.0,68259.0,72680.0,74658.0,80975.0,81547.0,87695.0,84054.0
Syrdarya region,16260.0,15559.0,15754.0,16701.0,17427.0,17862.0,17623.0,17627.0,18349.0,20744.0,21053.0,23244.0,23320.0,23229.0,22113.0
Tashkent region,54830.0,53545.0,52875.0,55128.0,57848.0,58692.0,57190.0,54794.0,59300.0,64086.0,65954.0,72659.0,73556.0,73171.0,69576.0
Fergana region,70622.0,67746.0,66989.0,73671.0,76697.0,79241.0,78587.0,75501.0,81414.0,87751.0,93037.0,99146.0,101308.0,106497.0,103062.0
Khorezm region,35965.0,35116.0,34731.0,37858.0,40248.0,39543.0,39199.0,37619.0,40103.0,41092.0,41978.0,42653.0,44920.0,48301.0,47423.0
Tashkent city,39314.0,37889.0,38072.0,41647.0,42225.0,42802.0,43879.0,43150.0,45548.0,50285.0,54401.0,63034.0,74036.0,75017.0,68153.0
