Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,8245.8,9504.8,11753.9,15219.3,20060.4,25423.1,29413.9,34698.0,51129.3,71156.5,88130.3,107492.7,130790.9,222935.8,259654.3
Republic of Karakalpakstan,237.1,398.6,537.2,720.8,1053.5,1219.3,1171.8,1398.8,2182.7,3315.4,3992.5,4480.6,5272.4,7995.6,8505.9
Andijan region,345.3,534.4,672.9,862.7,1131.8,1341.9,1578.0,1782.9,2819.5,3539.1,4673.0,5657.8,6864.1,10931.0,12782.8
Bukhara region,580.0,793.5,978.5,1279.6,1648.4,2061.7,2202.9,2543.7,3581.2,4368.1,5659.8,7401.1,8448.7,14524.8,16648.9
Jizzakh region,211.5,294.3,363.3,532.2,659.5,759.2,906.1,996.1,1564.3,2510.6,2715.0,3085.4,3446.4,5942.9,6405.7
Kashkadarya region,699.2,791.5,997.9,1168.2,1560.0,2067.5,2560.0,2759.1,3701.1,4365.3,4832.6,6336.6,7793.8,13986.6,15387.4
Navoi region,418.9,575.0,653.8,746.0,891.7,1019.2,1153.1,1313.5,2280.8,3464.0,3944.7,5155.5,5855.0,10645.4,14186.2
Namangan region,347.9,475.9,548.9,730.9,890.4,1010.4,1289.9,1475.2,2257.6,3471.0,4678.2,5556.7,6653.2,11732.9,13234.7
Samarkand region,519.7,745.0,926.2,1214.5,1562.8,2010.6,2194.9,2342.4,3299.0,4527.2,5755.3,7385.7,8895.4,13199.3,15389.5
Surkhandarya region,335.9,470.6,605.3,849.5,1051.5,1351.3,1554.8,1827.0,2879.7,3979.7,4774.7,5868.4,6521.9,11723.5,12962.2
Syrdarya region,134.9,168.0,230.3,313.0,376.5,478.9,540.7,552.4,1001.1,1926.2,2407.6,2708.8,3260.1,4663.2,4781.9
Tashkent region,509.9,684.2,907.1,1151.7,1330.9,1562.0,1646.3,1825.4,3006.7,5594.1,7102.6,9401.2,12237.4,22121.8,28990.3
Fergana region,489.2,671.0,806.5,1089.7,1396.2,1649.0,1840.0,1969.5,2942.7,4162.8,5473.9,6993.7,8646.0,15006.5,15811.7
Khorezm region,282.7,390.1,528.7,790.3,961.4,1174.7,1220.9,1375.8,1878.3,2496.8,2856.8,4228.5,4878.4,9452.7,11387.1
Tashkent city,1228.4,1866.5,2300.5,2725.6,3460.1,4113.0,4633.4,6197.9,10870.7,16256.9,19215.4,26535.4,32946.3,54310.9,69012.3
