Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Republic of Uzbekistan,13683.8,18336.4,21527.8,28614.1,33868.5,42085.5,48253.8,59690.4,83512.6,110321.0,129348.6,155159.1,145011.7
Republic of Karakalpakstan,250.7,334.4,391.4,579.0,699.2,1051.1,1088.8,1209.2,1815.0,2377.6,2804.2,2945.6,2393.3
Andijan region,3266.9,3887.6,4843.0,6717.3,7329.6,7159.7,5313.5,9853.1,21385.4,26179.4,27490.4,25823.9,36563.5
Bukhara region,764.1,977.2,1082.0,1331.8,1732.7,2292.0,2635.9,3112.1,3661.3,5311.1,6701.9,8570.2,4899.6
Jizzakh region,256.9,312.8,382.6,442.1,573.6,878.1,1053.4,1299.5,1821.5,2351.6,2992.9,4009.7,4115.2
Kashkadarya region,651.7,815.6,947.8,1498.2,1520.5,2094.3,2577.2,2549.3,2891.7,3899.8,4947.4,4660.9,3003.5
Navoi region,455.8,568.7,716.5,1096.1,1112.2,1768.6,2139.2,2193.6,2528.3,3243.4,3896.5,4342.5,3156.4
Namangan region,581.8,774.5,968.6,1113.1,1413.1,2098.1,2413.4,3090.5,4135.6,6030.0,6442.2,8303.8,7696.0
Samarkand region,1412.4,1736.3,2070.7,2484.0,3242.3,3829.9,5079.8,5919.2,7848.2,8745.3,11836.0,14381.9,9896.6
Surkhandarya region,290.7,363.6,445.5,537.8,687.7,942.8,985.2,1068.4,1218.0,1601.3,2161.1,2640.6,1733.6
Syrdarya region,252.9,391.3,467.8,669.7,822.7,1135.3,1404.0,1516.6,1895.2,2840.3,2812.3,3718.9,2048.1
Tashkent region,1335.3,2362.9,2177.1,3053.3,3811.0,4970.1,6250.0,5785.5,7700.9,10859.0,14517.4,19981.5,18290.8
Fergana region,1136.8,1393.7,1584.8,1961.5,2293.5,2888.1,3316.3,3740.8,4530.1,7216.3,10360.9,11763.9,7634.9
Khorezm region,346.8,441.1,548.2,682.5,1151.7,1764.5,1671.2,2374.3,3904.7,5673.9,6448.3,8591.6,10277.4
Tashkent city,2681.0,3976.5,4901.8,6446.8,6382.8,8731.2,11700.7,14275.8,17840.1,21997.7,24984.3,35424.2,33302.8
