Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,138411.0,143253.0,145988.0,145672.0,149761.0,152035.0,154791.0,160723.0,154913.0,154570.0,175625.0,174541.0,172068.0,172757.0,174413.0
Republic of Karakalpakstan,8342.0,8184.0,8208.0,8134.0,8157.0,8094.0,8396.0,8661.0,8602.0,8461.0,9164.0,8756.0,9585.0,10092.0,10184.0
Andijan region,12862.0,13933.0,14160.0,14188.0,14519.0,14860.0,15084.0,16122.0,15377.0,14656.0,15797.0,16409.0,15426.0,15877.0,17815.0
Bukhara region,7383.0,7521.0,7486.0,7662.0,7708.0,7976.0,8013.0,8336.0,7978.0,8335.0,10055.0,9129.0,9069.0,8758.0,9588.0
Jizzakh region,4440.0,4554.0,4746.0,4895.0,5109.0,5348.0,5433.0,5760.0,5596.0,5519.0,6021.0,5930.0,6784.0,6841.0,6190.0
Kashkadarya region,10271.0,10895.0,11010.0,11044.0,11961.0,11954.0,12553.0,13201.0,13023.0,12661.0,13911.0,14981.0,17017.0,16424.0,15514.0
Navoi region,3984.0,4107.0,4153.0,4103.0,4188.0,4110.0,4401.0,4472.0,4161.0,4378.0,5038.0,4848.0,4156.0,4588.0,4881.0
Namangan region,10553.0,11174.0,11551.0,11407.0,11848.0,12236.0,12276.0,13066.0,12200.0,12534.0,13536.0,13542.0,13433.0,13831.0,14281.0
Samarkand region,14262.0,14605.0,15002.0,15227.0,15381.0,15895.0,16146.0,16661.0,16254.0,16444.0,18404.0,18808.0,19272.0,19388.0,18854.0
Surkhandarya region,8446.0,9023.0,9309.0,9503.0,9702.0,9887.0,10380.0,11330.0,10698.0,10544.0,11931.0,12786.0,13851.0,13507.0,12621.0
Syrdarya region,3449.0,3465.0,3645.0,3648.0,3719.0,3786.0,4012.0,4032.0,3794.0,3852.0,3958.0,4173.0,4297.0,4644.0,4456.0
Tashkent region,15385.0,15455.0,15990.0,15809.0,16215.0,16251.0,16281.0,16470.0,16307.0,16035.0,18400.0,18121.0,14801.0,15529.0,16393.0
Fergana region,15870.0,16708.0,16824.0,16696.0,17280.0,17437.0,17141.0,17927.0,16975.0,17202.0,18540.0,18703.0,18460.0,18658.0,17880.0
Khorezm region,7022.0,7084.0,7675.0,7269.0,7780.0,7855.0,8158.0,8324.0,8203.0,8467.0,9671.0,9463.0,9446.0,9004.0,9036.0
Tashkent city,16142.0,16545.0,16229.0,16087.0,16194.0,16346.0,16517.0,16361.0,15745.0,15482.0,21199.0,18892.0,16471.0,15616.0,16720.0
