Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,12286.6,12541.5,12850.1,13163.0,13505.4,13767.7,14022.4,14357.3,14641.7,14876.4,14797.4,14980.7,15038.9,15038.3,15097.9
Republic of Karakalpakstan,627.4,631.7,641.5,650.8,656.7,665.4,675.1,688.8,779.5,782.2,790.0,781.5,786.1,791.8,805.8
Andijan region,1180.2,1209.3,1242.6,1279.2,1318.7,1347.3,1375.2,1404.1,1401.6,1413.9,1376.5,1403.1,1427.3,1429.7,1415.5
Bukhara region,810.0,825.0,844.5,859.3,868.5,872.4,872.4,874.6,887.7,875.4,881.9,862.2,856.4,858.8,841.8
Jizzakh region,404.6,413.9,424.1,437.3,453.0,465.4,480.8,492.6,539.4,590.3,600.1,612.6,602.7,597.4,593.8
Kashkadarya region,1030.9,1059.9,1094.9,1130.6,1172.5,1210.0,1247.0,1296.6,1353.3,1345.3,1317.9,1339.5,1331.5,1316.6,1377.2
Navoi region,429.0,433.9,440.0,442.4,443.7,443.6,444.2,445.7,446.3,450.9,440.9,450.2,445.8,455.0,457.7
Namangan region,866.0,890.2,921.1,953.1,989.5,1022.1,1057.9,1099.0,1162.6,1214.7,1217.2,1224.1,1208.5,1214.0,1228.2
Samarkand region,1308.3,1344.0,1389.0,1433.5,1485.1,1530.6,1575.7,1629.8,1620.6,1604.2,1592.9,1599.7,1632.3,1611.0,1607.5
Surkhandarya region,832.7,864.0,889.6,918.8,953.5,984.5,1018.3,1062.7,1089.3,1128.8,1108.3,1115.8,1109.9,1091.8,1089.5
Syrdarya region,335.0,342.1,348.7,357.5,366.6,369.1,368.5,371.9,390.7,385.9,373.4,372.1,369.5,364.8,373.1
Tashkent region,1205.1,1230.7,1260.9,1291.7,1323.5,1336.0,1342.4,1360.9,1349.8,1353.5,1315.8,1348.6,1321.4,1325.4,1327.9
Fergana region,1421.2,1439.1,1472.0,1504.0,1545.7,1570.9,1596.6,1630.5,1606.6,1644.8,1625.7,1648.8,1665.6,1674.2,1664.4
Khorezm region,642.0,659.8,679.1,697.5,717.8,735.5,754.7,773.3,786.0,810.0,804.5,806.4,815.5,831.4,824.1
Tashkent city,1193.6,1197.3,1201.4,1206.6,1210.1,1214.6,1213.6,1226.8,1228.3,1276.5,1352.3,1416.1,1466.4,1476.4,1491.4
