Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,66.9,66.2,66.6,67.1,67.7,68.2,68.7,69.2,67.4,68.1,66.0,67.0,67.2,67.9,68.3
Republic of Karakalpakstan,57.3,57.0,57.4,57.7,57.9,58.1,58.1,58.3,62.9,62.9,62.0,61.1,61.6,62.9,64.3
Andijan region,69.3,68.6,69.0,69.9,70.8,71.5,72.3,73.0,69.6,70.1,66.5,68.2,69.5,70.6,70.2
Bukhara region,74.5,73.5,74.1,74.4,74.0,73.4,72.9,72.5,70.7,69.3,68.3,67.2,67.2,68.7,67.7
Jizzakh region,56.8,56.0,56.0,56.5,57.3,58.1,59.1,60.0,61.6,67.1,66.2,67.5,66.2,66.3,66.0
Kashkadarya region,61.7,61.1,61.2,61.8,62.5,63.3,64.3,65.4,64.8,63.9,60.9,62.2,61.9,61.9,65.0
Navoi region,75.3,74.6,74.7,74.1,73.6,73.2,72.8,72.4,69.2,69.5,66.8,68.3,67.7,69.8,70.5
Namangan region,57.4,56.6,57.2,58.1,59.3,60.5,61.9,63.4,63.8,66.4,65.0,65.5,64.8,65.9,66.8
Samarkand region,64.7,64.0,64.7,65.4,66.5,67.6,68.7,69.7,66.3,65.3,63.2,63.7,64.7,65.0,64.8
Surkhandarya region,62.5,62.2,62.3,62.7,63.4,64.3,65.4,66.6,65.2,67.0,63.9,64.5,64.2,63.8,63.7
Syrdarya region,72.0,72.1,72.2,72.5,72.9,72.2,71.7,71.1,70.5,68.9,64.8,64.5,64.0,63.8,65.3
Tashkent region,71.5,71.8,72.9,74.0,75.1,75.3,75.4,75.2,71.4,71.4,68.2,72.4,71.0,72.2,72.3
Fergana region,69.4,67.9,68.0,68.3,68.8,69.1,69.6,69.9,66.0,67.5,65.1,66.2,67.1,68.4,68.0
Khorezm region,63.2,63.3,63.9,64.3,65.0,65.6,66.3,66.9,64.6,66.1,63.7,64.0,64.7,66.9,66.2
Tashkent city,81.6,80.7,80.7,80.7,80.9,81.1,81.0,80.8,77.5,80.1,81.7,81.3,82.5,82.3,82.3
