Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,22199.2,26365.9,26416.1,28269.6,27530.1,24924.3,24232.2,26566.1,33430.0,41751.0,36256.1,42170.5,50500.3,63528.6,67238.4
Republic of Karakalpakstan,126.3,158.3,240.3,233.8,316.9,286.1,628.5,641.1,742.0,700.0,539.0,649.2,599.3,535.2,653.0
Andijan region,2097.6,2387.8,2899.7,2912.0,2453.4,1564.6,1102.7,1596.9,2176.4,2532.8,2795.4,3165.4,4282.5,5047.9,4201.4
Bukhara region,762.6,860.1,913.8,1049.8,1002.8,922.8,715.5,877.9,911.3,1259.4,831.2,1180.9,1224.8,1212.3,1324.5
Jizzakh region,233.5,282.3,178.0,307.5,171.7,158.3,194.6,235.1,336.2,508.8,816.7,531.2,688.2,1432.2,2032.1
Kashkadarya region,504.5,580.6,750.8,765.4,606.9,737.7,764.1,596.9,765.7,824.8,542.1,565.7,545.4,737.8,1239.1
Navoi region,925.9,1009.1,1082.2,1081.2,990.5,802.5,704.0,768.9,1636.2,1835.5,1312.3,1168.5,1230.3,1331.3,1601.1
Namangan region,481.0,205.9,230.9,280.1,330.7,273.2,482.0,573.7,1202.6,986.5,873.8,1091.0,1279.7,1404.9,1381.5
Samarkand region,452.4,552.6,690.9,969.2,954.2,910.6,985.2,1101.6,1620.5,1749.9,1491.5,1920.5,2365.5,2892.4,3044.6
Surkhandarya region,309.0,287.3,283.1,418.8,261.2,264.7,270.7,374.6,589.1,562.7,416.9,442.5,372.7,327.9,424.8
Syrdarya region,250.3,176.7,270.5,323.1,486.0,275.2,252.1,289.2,291.4,570.8,612.7,667.2,813.6,861.6,678.0
Tashkent region,2901.6,3655.7,2952.4,3318.3,3864.2,3094.8,3019.8,3207.6,3861.3,4746.9,4604.2,5311.3,5584.5,5783.0,5896.6
Fergana region,953.7,1090.9,971.2,1050.5,968.3,1167.8,873.2,949.4,1353.6,1417.8,1463.1,1835.5,2064.0,1979.3,2171.4
Khorezm region,209.8,291.5,247.7,298.3,305.5,211.4,216.6,256.0,272.0,557.7,469.3,517.2,787.3,881.1,953.4
Tashkent city,9006.8,8961.2,9140.3,10521.5,9489.6,8321.6,8116.4,8440.6,9800.0,13229.5,12360.1,16583.1,19609.0,25186.3,26528.2
