Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,16463.7,19500.0,24455.3,30490.1,37646.2,44810.4,51232.0,72155.2,124231.3,195927.3,210195.1,239552.6,266240.0,356071.4,507490.2
Republic of Karakalpakstan,496.4,950.3,1242.1,2415.0,3990.6,6021.2,3778.3,2822.0,6757.8,8750.6,7089.8,8110.7,10254.0,12959.2,20567.7
Andijan region,726.2,1037.2,1379.9,1462.3,1645.0,1956.5,2188.5,2986.0,4711.9,7452.1,9622.6,11176.6,14339.8,18639.1,28668.0
Bukhara region,2147.2,2101.8,2405.8,2998.7,3583.2,4075.9,5922.9,11613.4,9610.9,10366.6,12183.9,20528.3,21638.3,31030.5,51663.9
Jizzakh region,440.8,580.3,792.5,1128.5,1200.9,1304.9,1449.7,1788.2,3606.3,7900.9,12545.4,9233.6,10373.9,14970.9,23515.4
Kashkadarya region,1792.8,2265.9,3072.2,3667.8,4721.8,5894.7,7304.4,11175.3,16518.5,24462.5,20557.6,17359.1,16012.8,21138.0,35482.5
Navoi region,1741.8,1421.9,1688.0,1696.9,1754.1,1809.1,2963.2,3977.9,10579.5,17646.3,15688.4,15020.1,17958.1,26398.6,33550.2
Namangan region,660.6,764.2,917.3,1205.1,1807.5,2227.5,2824.5,3586.7,8158.1,12084.9,12007.2,12982.0,14775.1,19220.1,54231.4
Samarkand region,1083.1,1345.6,1586.0,2127.6,2540.4,3237.2,3623.5,4384.2,7061.4,10266.7,14656.4,15641.6,18917.1,25717.1,28946.9294
Surkhandarya region,655.3,802.9,980.3,1371.0,1509.1,1843.6,2142.4,3551.0,7240.6,11835.1,10068.2,12037.8,11569.4,18307.7,16593.1
Syrdarya region,406.2,596.7,663.1,852.8,992.3,1083.3,1322.9,1628.0,2699.3,5869.1,7191.9,8051.8,12354.6,15871.8,11406.3
Tashkent region,1606.1,2221.6,2005.8,3195.2,4021.7,4428.1,4238.7,5938.4,11226.9,20353.9,21148.6,28113.6,35767.7,47709.3,73325.1237
Fergana region,930.9,1261.4,1505.8,2130.0,2295.3,2542.3,2643.6,2954.5,5539.1,8685.4,11040.0,12625.2,15419.3,19955.0,21542.7
Khorezm region,416.9,627.1,783.4,1256.9,1614.8,1531.5,1560.5,2175.9,3013.8,5032.0,5391.8,8292.0,8769.7,11666.1,15624.1
Tashkent city,3309.0,3523.1,5433.1,4977.1,5969.5,6854.6,9268.9,13573.7,26435.7,42458.1,50371.4,58172.7,56847.9,71143.7,91642.8
