Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,583.2,664.6,821.4,1008.2,1224.0,1431.7,1608.6,2227.8,3769.6,5834.6,6140.3,6861.0,7468.6,9778.8,0.0
Republic of Karakalpakstan,302.6,563.3,729.7,1400.7,2280.6,3388.2,2094.1,1528.8,3641.1,4644.4,3710.0,4189.2,5225.5,6514.1,10201.215405217736
Andijan region,282.3,385.1,504.5,525.8,581.0,678.4,745.3,999.6,1550.3,2406.0,3047.2,3470.1,4361.1,5549.8,8363.617994573622
Bukhara region,1321.5,1239.5,1399.9,1720.3,2023.4,2264.0,3237.6,6254.2,5112.4,5429.3,6295.0,10462.9,10855.5,15309.4,25073.47721426838
Jizzakh region,391.5,493.2,662.8,928.1,969.6,1033.1,1125.1,1361.9,2693.9,5778.9,8984.7,6470.8,7107.9,10037.4,15445.272577996717
Kashkadarya region,678.5,823.9,1095.5,1281.0,1613.1,1969.9,2389.2,3583.4,5193.4,7534.6,6214.7,5148.2,4647.7,6002.6,9856.25788888889
Navoi region,2031.0,1621.1,1907.8,1896.4,1933.5,1965.1,3168.2,4185.5,10892.1,17855.2,15604.2,14672.4,17189.8,24778.1,30921.82294930876
Namangan region,290.0,318.4,376.0,485.6,714.7,863.8,1074.8,1340.3,2992.5,4344.1,4229.2,4477.8,4984.4,6339.5,17500.209048372002
Samarkand region,344.0,407.9,472.9,623.3,730.0,912.0,1001.6,1189.5,1878.3,2674.9,3746.0,3920.7,4642.5,6176.9,6806.397846175551
Surkhandarya region,312.7,365.4,437.7,600.1,646.8,773.0,879.1,1427.1,2848.3,4552.8,3792.2,4438.7,4169.4,6442.3,5699.549582660667
Syrdarya region,564.3,813.8,890.1,1126.4,1288.1,1382.2,1660.3,2011.1,3280.2,7002.9,8425.4,9257.1,13919.1,17532.1,12365.88052905464
Tashkent region,618.2,835.9,747.5,1178.7,1466.6,1595.0,1507.5,2087.2,3898.4,6970.0,7169.0,9644.5,12056.8,15784.2,23806.08541930457
Fergana region,300.1,387.5,455.6,634.3,672.0,731.6,747.8,822.4,1516.8,2336.2,2916.0,3272.3,3917.2,4965.3,5250.347298384148
Khorezm region,264.6,388.3,477.3,753.1,950.0,884.7,885.7,1215.0,1655.6,2718.4,2868.2,4344.3,4517.9,5901.5,7757.735004965244
Tashkent city,1472.4,1529.9,2336.7,2120.7,2527.2,2877.4,3848.1,5552.8,10627.8,16710.5,19065.6,20619.8,19539.4,23725.7,29785.11047191888
