Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,38119.0,47587.1,57552.5,70634.8,84011.6,97598.2,111869.4,148816.0,235340.7,322535.8,368740.2,456056.1,553265.0,658991.7,880198.5
Republic of Karakalpakstan,697.2,897.8,1034.2,1368.8,1717.2,2387.6,4265.7,6773.3,10911.9,12736.1,13981.3,16630.4,17624.7,17791.1,24323.5
Andijan region,4701.4,5727.3,6934.9,9278.6,10463.2,9744.6,7965.7,13269.8,27454.7,33122.3,36376.5,35935.3,54352.5,73767.1,90626.6
Bukhara region,1674.8,2202.6,2457.8,3073.9,3972.6,5143.9,5569.6,6422.3,8601.2,14798.2,17574.4,20772.1,27202.4,31860.4,42243.7
Jizzakh region,522.7,659.6,785.7,933.3,1195.8,1474.5,2001.2,2548.8,3581.8,4586.1,5823.8,8731.8,11402.0,19197.3,24903.7
Kashkadarya region,4957.5,5043.6,6076.4,6849.4,7194.7,8721.9,9632.2,10945.9,14529.5,20360.1,14612.3,18771.9,22624.4,28767.7,39116.8
Navoi region,4038.5,4865.7,5761.1,7087.3,8238.9,9286.9,10657.9,13072.9,22892.4,44438.1,65084.9,73633.5,84393.7,101841.9,145615.0
Namangan region,1007.0,1358.1,1615.6,1892.1,2315.2,2861.8,3475.7,4615.5,6586.6,8818.1,11011.9,14695.1,18120.5,21906.8,31696.2
Samarkand region,2011.2,2485.6,3222.0,3880.1,4966.4,6095.5,7446.0,9242.0,13488.1,15783.6,18383.4,22834.3,29188.6,32955.7,45408.0
Surkhandarya region,756.4,925.8,1101.8,1321.4,1615.3,1910.7,2200.7,2356.4,3234.7,4231.3,5322.7,6675.3,7229.8,8848.6,13819.8
Syrdarya region,926.8,1211.4,1528.1,1929.3,2363.1,2820.6,3522.3,3806.5,5163.1,7293.0,7990.9,9813.3,12011.2,15348.1,20064.5
Tashkent region,5471.2,7286.5,8112.1,10418.3,12474.6,14401.0,16864.7,21693.4,37724.4,53484.8,65949.9,83433.9,93935.1,106915.3,138555.4
Fergana region,3265.5,4120.1,4596.9,5290.8,6596.4,7170.2,8040.7,9728.5,13613.8,18661.2,21701.2,27761.5,30303.5,35794.9,45896.1
Khorezm region,628.6,852.4,1014.2,1297.2,1920.8,2616.0,2802.7,4070.4,6457.2,8538.6,9615.9,13658.1,18323.3,21589.1,28438.8
Tashkent city,6984.4,9628.9,12516.4,15531.3,15468.5,18986.1,23511.9,30459.6,43274.1,52747.5,66188.0,90211.9,108807.7,124116.4,171706.2
