Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,16726.0,17286.4,17564.3,17814.1,18048.0,18276.1,18488.9,18666.3,18829.6,18949.0,19158.2,19334.9,19517.5,19739.6,20085.2
Republic of Karakalpakstan,945.5,973.8,983.5,996.6,1011.9,1026.6,1042.2,1054.6,1064.8,1063.0,1074.7,1066.1,1067.6,1072.6,1098.6
Andijan region,1561.2,1597.4,1606.8,1641.7,1667.9,1691.2,1709.1,1722.2,1733.3,1741.7,1754.8,1745.3,1780.8,1799.6,1807.4
Bukhara region,987.6,1008.3,1025.7,1035.1,1045.0,1055.8,1065.4,1073.1,1077.8,1081.0,1067.1,1072.3,1074.7,1089.2,1085.3
Jizzakh region,652.1,678.7,695.5,708.8,723.0,734.7,746.1,756.2,765.7,764.1,773.8,782.6,791.0,799.4,802.0
Kashkadarya region,1493.4,1569.8,1612.7,1654.2,1692.5,1725.7,1758.1,1784.6,1806.8,1813.8,1809.8,1811.0,1813.4,1826.7,1888.5
Navoi region,531.6,541.9,544.1,546.8,543.1,540.3,543.5,547.2,552.0,555.8,555.2,564.5,570.6,584.5,597.4
Namangan region,1350.6,1436.5,1468.4,1480.0,1492.5,1515.0,1534.0,1549.5,1564.2,1573.9,1580.4,1586.1,1588.3,1603.9,1632.4
Samarkand region,1815.7,1902.6,1943.7,1973.8,2003.8,2033.6,2058.2,2079.6,2103.4,2117.1,2125.2,2122.0,2164.8,2167.6,2190.9
Surkhandarya region,1174.1,1245.4,1282.7,1320.2,1353.0,1379.2,1403.1,1423.9,1442.7,1456.9,1452.2,1464.6,1465.4,1486.0,1515.8
Syrdarya region,420.7,432.7,441.8,448.7,456.9,464.0,470.2,475.2,480.5,484.5,485.0,489.4,487.4,492.2,503.2
Tashkent region,1549.7,1566.9,1579.6,1589.5,1601.9,1609.6,1617.7,1623.9,1627.2,1607.3,1615.4,1622.5,1619.2,1640.7,1671.6
Fergana region,1824.2,1895.2,1931.4,1947.5,1969.5,1996.5,2016.4,2031.1,2043.1,2052.1,2069.3,2083.9,2097.8,2121.7,2143.3
Khorezm region,900.4,901.0,918.5,934.2,952.2,969.8,986.7,1000.6,1013.4,1029.6,1044.8,1047.1,1050.9,1064.3,1080.3
Tashkent city,1519.2,1536.2,1529.9,1537.0,1534.8,1534.1,1538.2,1544.6,1554.7,1608.2,1750.5,1877.5,1945.6,1991.2,2068.5
