Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,90050.0,90617.0,90660.0,90152.0,89360.0,87946.0,87412.0,73692.0,49011.0,46089.0,62081.0,111082.0,105215.0,104096.0,132298.0
Republic of Karakalpakstan,3182.0,3189.0,3425.0,3164.0,3107.0,3042.0,3456.0,2861.0,1968.0,1870.0,2092.0,3306.0,3367.0,3554.0,4673.0
Andijan region,5716.0,5710.0,5683.0,5676.0,5643.0,5640.0,5678.0,4507.0,3494.0,3361.0,4618.0,6930.0,7231.0,7487.0,8743.0
Bukhara region,4349.0,4199.0,4251.0,4237.0,4400.0,4364.0,4356.0,4204.0,2972.0,2720.0,3570.0,5267.0,5175.0,5339.0,7489.0
Jizzakh region,2462.0,2436.0,2434.0,2424.0,2616.0,2612.0,2585.0,2348.0,1878.0,1836.0,1775.0,2731.0,2865.0,3192.0,4288.0
Kashkadarya region,5535.0,5522.0,5577.0,5762.0,5746.0,5836.0,5864.0,4493.0,2918.0,2804.0,3508.0,5813.0,5810.0,5928.0,7841.0
Navoi region,3357.0,3355.0,3419.0,3408.0,3400.0,3394.0,3386.0,3083.0,2067.0,1857.0,1943.0,2998.0,2965.0,3132.0,4120.0
Namangan region,5686.0,5628.0,5571.0,5564.0,5546.0,5540.0,5528.0,4605.0,3498.0,3320.0,4235.0,7054.0,7212.0,7742.0,8204.0
Samarkand region,7739.0,7579.0,7548.0,7511.0,7487.0,7484.0,7735.0,7691.0,5215.0,5016.0,5307.0,7505.0,7727.0,7843.0,9402.0
Surkhandarya region,3941.0,3922.0,3935.0,4095.0,4089.0,4081.0,4072.0,3106.0,2322.0,2280.0,3176.0,5041.0,4995.0,5102.0,8001.0
Syrdarya region,2925.0,4098.0,3960.0,3915.0,3815.0,3868.0,3385.0,2591.0,1295.0,1261.0,1681.0,3138.0,3405.0,3387.0,3295.0
Tashkent region,9725.0,9717.0,9707.0,9693.0,9681.0,9666.0,9651.0,8320.0,6240.0,5816.0,7261.0,11957.0,12259.0,12430.0,14702.0
Fergana region,8985.0,8954.0,9539.0,9516.0,9506.0,9498.0,9483.0,8126.0,5362.0,5079.0,10952.0,19903.0,15182.0,13025.0,14289.0
Khorezm region,3489.0,3453.0,3522.0,3769.0,3763.0,3760.0,3754.0,2909.0,1771.0,1734.0,2698.0,2929.0,2905.0,3023.0,4339.0
Tashkent city,21061.0,20720.0,19961.0,19301.0,18617.0,17233.0,16877.0,14030.0,7148.0,6718.0,8657.0,25543.0,22791.0,21728.0,32106.0
