Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,21872.8,28539.0,36946.4,46863.0,58136.6,71184.1,88071.6,105229.9,133195.2,166094.4,199518.8,252056.6,270687.2,330448.1,410068.1
Republic of Karakalpakstan,711.3,897.3,1155.2,1568.3,1977.8,2397.7,2950.4,3527.8,4496.8,5705.8,6861.8,7582.5,9557.9,11392.6,14263.8
Andijan region,1704.2,2230.8,2835.0,3671.1,4563.8,5564.3,6777.8,8124.9,10367.9,12704.3,14810.1,15376.3,19046.9,22770.8,28630.5
Bukhara region,1290.2,1726.5,2259.7,2958.2,3693.8,4481.8,5611.9,6578.5,8375.0,10309.2,12072.8,12747.1,15522.0,18167.1,22420.5
Jizzakh region,629.6,882.5,1161.9,1542.6,1904.7,2320.5,2912.3,3442.7,4373.4,5883.0,7223.3,6472.8,7995.4,9516.8,11372.9
Kashkadarya region,1325.2,1867.1,2567.6,3443.7,4250.0,5042.8,6202.9,7187.3,8818.5,10639.7,13523.9,14399.4,18165.9,21781.7,26804.1
Navoi region,850.6,1096.5,1469.5,1932.0,2453.2,3001.9,3684.7,4348.5,5436.3,6776.0,7922.8,8091.6,10101.6,12356.0,15253.7
Namangan region,1297.0,1696.3,2166.2,2853.5,3440.0,4166.7,5253.4,6334.2,7829.0,9962.2,12233.8,13541.9,17273.1,20665.8,25185.7
Samarkand region,1683.0,2208.5,3030.1,3846.7,4890.1,6078.2,7605.2,8973.5,11123.1,13877.3,16816.8,19882.0,25342.5,30196.5,35994.7
Surkhandarya region,1321.3,1760.9,2280.0,3070.4,3894.8,4766.4,6015.1,7149.0,8846.2,11055.7,12545.8,13737.4,17428.5,20845.7,25310.4
Syrdarya region,411.1,524.1,672.9,806.4,1022.6,1246.5,1547.4,1836.8,2295.5,2872.6,3584.0,3800.3,4453.7,5239.2,6420.5
Tashkent region,2306.3,3137.7,4060.0,4907.5,6103.0,7663.3,9223.0,11149.5,14101.0,17420.0,20808.1,20389.1,25250.0,30872.1,38550.4
Fergana region,1911.6,2501.8,3270.6,4117.7,4936.0,6150.8,7655.7,9020.4,11277.6,13744.3,16414.8,18850.0,22448.5,27781.8,35545.6
Khorezm region,1005.9,1265.8,1566.6,1959.6,2343.3,2723.5,3365.9,3948.5,5269.2,6915.5,8589.2,8869.9,11317.2,13412.3,16127.3
Tashkent city,5425.5,6743.2,8451.1,10185.3,12663.4,15579.7,19265.9,23608.2,30585.5,38228.9,46111.6,52954.5,66784.0,85449.9,108188.0
