region_code,region_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,Republic of Uzbekistan,658.2,622.4,626.3,639.7,687.0,709.4,724.0,837.0,1368.6,1335.3,1561.0,1441.8,1332.7,1024.1,836.0,744.9
1735,Republic of Karakalpakstan,46.6,41.7,41.3,40.3,35.7,35.4,36.5,41.6,74.3,70.9,82.6,78.9,71.9,56.3,46.4,42.4
1703,Andijan region,68.2,64.6,66.3,68.5,73.7,75.6,77.5,84.9,134.8,129.4,150.6,138.8,130.5,100.7,76.9,70.6
1706,Bukhara region,41.9,40.3,40.1,40.9,45.3,48.2,47.1,48.1,77.6,78.3,93.9,84.9,75.8,55.6,45.1,41.5
1708,Jizzakh region,23.0,21.5,21.2,22.2,24.6,24.0,26.0,24.4,52.8,54.1,65.8,61.9,56.3,43.5,34.6,30.7
1710,Kashkadarya region,59.3,56.2,58.3,58.3,64.0,66.1,66.1,78.6,131.3,125.3,146.9,137.0,124.2,96.5,80.9,69.4
1712,Navoi region,21.1,20.5,21.5,22.8,23.1,22.4,22.4,23.3,38.6,38.2,41.5,39.8,35.7,28.6,22.5,20.6
1714,Namangan region,50.7,48.5,49.0,49.6,52.2,53.3,56.5,64.1,111.1,110.1,128.5,119.3,107.9,84.9,68.6,62.4
1718,Samarkand region,78.4,74.2,74.6,76.2,82.6,86.7,90.6,106.7,157.3,148.4,174.6,158.4,152.5,106.8,86.4,80.3
1722,Surkhandarya region,48.3,46.3,46.6,47.6,52.0,53.7,56.8,71.0,105.3,104.6,122.8,113.9,103.6,80.6,64.6,54.7
1724,Syrdarya region,15.1,14.6,13.9,15.2,17.0,18.2,16.1,18.8,36.5,35.8,41.2,38.0,34.5,26.8,21.9,19.5
1727,Tashkent region,49.7,47.3,45.4,46.8,51.1,54.2,54.8,71.3,122.1,120.6,138.6,126.5,116.9,90.5,76.3,64.4
1730,Fergana region,80.8,71.5,73.2,72.9,82.9,85.6,88.3,104.8,155.6,152.2,177.1,165.5,153.9,118.8,100.5,83.3
1733,Khorezm region,35.3,34.6,35.7,37.1,39.2,39.5,41.4,44.0,74.2,73.5,88.1,80.0,73.7,54.9,44.6,41.8
1726,Tashkent city,39.8,40.6,39.2,41.3,43.6,46.5,43.9,55.4,97.1,93.9,108.8,98.9,95.3,79.6,66.7,63.3
