Classification,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Republic of Uzbekistan,11774100.0,15476700.0,18018800.0,22001677.2,25512624.2,29156201.9,35396463.1,38799693.2,57481979.6,86538273.7,128741736.2,183112282.4,258444045.4,385591909.6,456623261.0
Republic of Karakalpakstan,292400.0,446300.0,474600.0,463035.0,562131.2,683698.5,709733.0,800620.6,1231804.5,1607346.7,2113941.8,2402092.1,3626827.0,5743073.0,6757340.3
Andijan region,428100.0,727000.0,738100.0,831688.1,993355.5,1132756.6,1149951.4,1243050.5,2288336.2,2436753.9,3719177.6,4283896.8,6313984.8,11517875.8,13235128.0
Bukhara region,444800.0,661400.0,773400.0,890285.5,1185739.1,1298777.1,1490571.9,1537772.9,1809226.2,3112333.8,4587610.3,6991633.9,13450872.9,16024847.9,17819675.8
Jizzakh region,225400.0,352300.0,354600.0,375079.0,473449.3,516437.3,597286.0,752103.9,1641746.5,2198747.1,2213252.1,2289120.0,3522258.0,3552448.0,5664338.5
Kashkadarya region,475300.0,729100.0,873100.0,1180084.2,1420362.6,1530712.1,1812925.1,1807868.3,2331638.6,2707171.5,3061049.4,3767950.7,6158340.7,7592725.7,8949146.7
Navoi region,389700.0,463400.0,448600.0,472122.5,624723.4,501399.3,591061.0,676809.3,1659416.5,1840064.3,1876174.4,2025804.9,3284291.5,4294889.7,4868652.9
Namangan region,411300.0,725400.0,713200.0,786869.2,853034.6,1015798.4,1224563.8,1506647.5,1607146.1,2687108.3,5005054.3,7168668.1,9457737.8,16090211.6,18952290.0
Samarkand region,780200.0,1112000.0,1296200.0,1430251.6,1723435.0,2043502.4,2759436.4,2876716.9,3740117.7,5445351.1,7041585.5,9316221.2,12954120.0,22311416.3,27742479.6
Surkhandarya region,335600.0,428400.0,530500.0,649445.9,800366.7,841183.0,1151127.0,1523574.2,2029449.4,2559212.2,3923768.9,5079342.8,5767057.5,9769005.0,10689931.1
Syrdarya region,195100.0,317400.0,399400.0,458924.0,499162.5,619164.2,800471.2,872092.1,1199213.2,2072187.6,2157716.2,2646445.8,3530745.0,5778775.3,6843396.1
Tashkent region,1653000.0,2111800.0,2126200.0,2548530.0,3371648.2,3403221.9,4092934.0,3950100.5,5718607.2,8612075.2,12039270.0,14302089.5,25982338.1,42677896.9,53394901.8
Fergana region,804600.0,1032200.0,1216100.0,1356745.0,1477899.2,1857089.0,2180146.8,2415385.1,3997047.5,5889749.8,7909835.9,11050207.7,15988074.9,22063906.3,26686635.7
Khorezm region,270900.0,428400.0,509500.0,608841.8,674059.0,722575.3,757272.8,876454.5,1568457.6,2002647.5,3101779.7,3937558.5,6053313.3,7707525.7,9265334.3
Tashkent city,5067700.0,5941600.0,7565300.0,9949775.4,10853257.9,12989886.8,16078982.7,17960496.7,26659772.4,43367524.8,69991602.6,107851250.5,142354083.9,210467312.4,245754010.1
